unresolved_name,n_sources,tier,suggested_canonical,all_candidates,sources_referencing,synonyms_from_sources,grin_accession_id,action,notes
HARSLEVELU,6,tier1,HARSLEVELUE,HARSLEVELUE,vivc confirmed; lacombe 2013; lac emanuelli 2020; laucou 2018; liang 2019; ssr lacombe,,,,
DIAGALVES,5,tier1,DIAGALVES FAUX,DIAGALVES FAUX,vivc confirmed; lacombe 2013; oliveira 2020; laucou 2018; ssr lacombe,,,,
HUMAGNE BLANC,5,tier1,HUMAGNE BLANCHE,HUMAGNE BLANCHE,vivc confirmed; lacombe 2013; lac emanuelli 2020; laucou 2018; ssr lacombe,,,,
BALINT,3,tier1,BALINT WEISS,BALINT WEISS,vivc confirmed; lacombe 2013; ssr lacombe,,,,
HUBBARD,3,tier1,HUBBARD SEEDLESS,HUBBARD SEEDLESS,vivc confirmed; oliveira 2020; ssr oliveira,,,,
MALVASIA DI SARDEGNA,3,tier1,MALVASIA DI SARDEGNA ROSADA,MALVASIA DI SARDEGNA ROSADA,vivc confirmed; lac emanuelli 2020; laucou 2018,,,,
MOSCATEL DE HAMBURGO,3,tier1,MOSCATEL DE HAMBURGO BRANCO,MOSCATEL DE HAMBURGO BRANCO,vivc confirmed; oliveira 2020; ssr oliveira,,,,
MOSCATEL DE OEIRAS,3,tier1,MOSCATEL DE OEIRAS FAUX (COLLECTION BORDEAUX),MOSCATEL DE OEIRAS FAUX (COLLECTION BORDEAUX),lacombe 2013; oliveira 2020; ssr oliveira,,,,
PRIETO PICUDO,3,tier1,PRIETO PICUDO TINTO,PRIETO PICUDO TINTO,lacombe 2013; laucou 2018; ssr lacombe,,,,
BACHET,2,tier1,BACHET NOIR,BACHET NOIR,lacombe 2013; ssr lacombe,,,,
CALLET CAS CONCOS,2,tier1,CALLET CAS CONCOS BLANCO,CALLET CAS CONCOS BLANCO,vivc confirmed; lacombe 2013,,,,
DAPHNI,2,tier1,DAPHNIA,DAPHNIA,lacombe 2013; ssr lacombe,,,,
DARANYI IGNAC,2,tier1,DARANYI IGNAC MUSKOTALY,DARANYI IGNAC MUSKOTALY,lacombe 2013; ssr lacombe,,,,
FRANKENTHAL,2,tier1,FRANKENTHAL BLANC MUSQUE,FRANKENTHAL BLANC MUSQUE,vivc confirmed; laucou 2018,,,,
JAVOR GROSS,2,tier1,JAVOR GROSS WEISS,JAVOR GROSS WEISS,lacombe 2013; ssr lacombe,,,,
MOUCHKETNY,2,tier1,MOUCHKETNY FAUX,MOUCHKETNY FAUX,lacombe 2013; ssr lacombe,,,,
NIAGARA BRANCA,2,tier1,NIAGARA BRANCA OVAL,NIAGARA BRANCA OVAL,vivc confirmed; ssr oliveira,,,,
PLAVINA,2,tier1,PLAVINA CRNA,PLAVINA CRNA,vivc confirmed; lac emanuelli 2020,,,,
REDONDAL,2,tier1,REDONDAL BLANC,REDONDAL BLANC,lac emanuelli 2020; laucou 2018,,,,
SIBIRKOVY,2,tier1,SIBIRKOVYI,SIBIRKOVYI,lac emanuelli 2020; laucou 2018,,,,
TORTOZON,2,tier1,TORTOZONA TINTA,TORTOZONA TINTA,vivc confirmed; ssr lacombe,,,,
ASKERI,1,tier1,ASKERI SARI,ASKERI SARI,lac emanuelli 2020,,,,
BELDI,1,tier1,BELDI CT2,BELDI CT2,vivc confirmed,,,,
BENEDICTO FALSO,1,tier1,BENEDICTO FALSO DE ARAGON,BENEDICTO FALSO DE ARAGON,laucou 2018,,,,
BLANC DE DELLYS,1,tier1,BLANC DE DELLYS X RHODITES,BLANC DE DELLYS X RHODITES,vivc confirmed,,,,
CEAUS,1,tier1,CEAUS ROZ FAUX,CEAUS ROZ FAUX,vivc confirmed,,,,
CRIOLLA GRANDE,1,tier1,CRIOLLA GRANDE SANJUANINA,CRIOLLA GRANDE SANJUANINA,vivc confirmed,,,,
DUNAVSKI MISKET,1,tier1,DUNAVSKI MISKET X CARDINAL,DUNAVSKI MISKET X CARDINAL,vivc confirmed,,,,
DURANIJA,1,tier1,DURANIJA BIJELA,DURANIJA BIJELA,vivc confirmed,,,,
EKIM KARA FAUX,1,tier1,EKIM KARA FAUX (COLLECTION CONEGLIANO),EKIM KARA FAUX (COLLECTION CONEGLIANO),vivc confirmed,,,,
FRAPPATO,1,tier1,FRAPPATO DI VITTORIA,FRAPPATO DI VITTORIA,lac emanuelli 2020,,,,
FUJIMINORI,1,tier1,FUJIMINORI (4N),FUJIMINORI (4N),liang 2019,,,,
GRENACHE N,1,tier1,GRENACHE NOIR A FLEURS FEMELLES,GRENACHE NOIR A FLEURS FEMELLES,vivc confirmed,,,,
HOSSZUNYELU,1,tier1,HOSSZUNYELUE,HOSSZUNYELUE,lacombe 2013,,,,
KEKNYELU,1,tier1,KEKNYELUE,KEKNYELUE,lac emanuelli 2020,,,,
