child_variety,parent_variety,parent_role,evidence_type,marker_type,n_markers,lod_score,study_reference,doi,confirmed_year,confidence_level,notes
ALICANTE BOUSCHET,GRENACHE,Parent 1,SSR,SSR,29,3.080e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,Confirmed pedigree; Reported in VIVC; Cipriani 2010 TAG 121:1569; 29 SSR loci; mismatches=2
ALICANTE BOUSCHET,PETIT BOUSCHET,Parent 2,SSR,SSR,29,3.080e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,Confirmed pedigree; Reported in VIVC; Cipriani 2010 TAG 121:1569; 29 SSR loci; mismatches=2
CABERNET SAUVIGNON,SAUVIGNON,Parent 1,SSR,SSR,33,3.180e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,Confirmed pedigree; Reported also in Bowers & Meredith 1997; Cipriani 2010 TAG 121:1569; 33 SSR loci; mismatches=0
CABERNET SAUVIGNON,CABERNET FRANC,Parent 2,SSR,SSR,33,3.180e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,Confirmed pedigree; Reported also in Bowers & Meredith 1997; Cipriani 2010 TAG 121:1569; 33 SSR loci; mismatches=0
CILIEGIOLO,SANGIOVESE,Parent 1,SSR,SSR,22,,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,Confirmed pedigree; Reported also in Di Vecchi Staraz et al 2007; Cipriani 2010 TAG 121:1569; 22 SSR loci; mismatches=2
CILIEGIOLO,MOSCATO VIOLETTO,Parent 2,SSR,SSR,22,,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,Confirmed pedigree; Reported also in Di Vecchi Staraz et al 2007; Cipriani 2010 TAG 121:1569; 22 SSR loci; mismatches=2
CORNAREA,BARBERA,Parent 1,SSR,SSR,28,3.040e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,Confirmed pedigree; Reported in VIVC; Cipriani 2010 TAG 121:1569; 28 SSR loci; mismatches=2
CORNAREA,NEBBIOLO,Parent 2,SSR,SSR,28,3.040e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,Confirmed pedigree; Reported in VIVC; Cipriani 2010 TAG 121:1569; 28 SSR loci; mismatches=2
DELIGHT,SULTANINA,Parent 1,SSR,SSR,31,3.640e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,Confirmed pedigree; Reported in VIVC; Cipriani 2010 TAG 121:1569; 31 SSR loci; mismatches=2
DELIGHT,REGINA DEI VIGNETI,Parent 2,SSR,SSR,31,3.640e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,Confirmed pedigree; Reported in VIVC; Cipriani 2010 TAG 121:1569; 31 SSR loci; mismatches=2
