child_variety,parent_variety,parent_role,evidence_type,marker_type,n_markers,lod_score,study_reference,doi,confirmed_year,confidence_level,notes
FEPIRO,GRAND NOIR,Parent 1,SNP,SNP,231,61.5,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=61.5
FEPIRO,FERNÃO PIRES,Parent 2,SNP,SNP,231,61.5,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=61.5
ALMAFRA,SIRIA,Parent 1,SNP,SNP,231,62.1,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=62.1
ALMAFRA,MALVASIA FINA,Parent 2,SNP,SNP,231,62.1,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=62.1
ALVARELHAO CEITAO,HEBIEN,Parent 1,SNP,SNP,231,75.1,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=75.1
ALVARELHAO CEITAO,ALVARELHAO,Parent 2,SNP,SNP,231,75.1,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=75.1
BRANCA DE ANADIA,FERNÃO PIRES,Parent 1,SNP,SNP,231,68.3,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=68.3
BRANCA DE ANADIA,MONTUA,Parent 2,SNP,SNP,231,68.3,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=68.3
BARRETO,GOUVEIO,Parent 1,SNP,SNP,231,69,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=69
BARRETO,MARUFO,Parent 2,SNP,SNP,231,69,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=69
BENFICA,CASTELAO,Parent 1,SNP,SNP,231,70.7,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=70.7
BENFICA,ALICANTE HENRI BOUSCHET,Parent 2,SNP,SNP,231,70.7,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=70.7
BRANCO DESCONHECIDO,Kadarka Bela,Parent 1,SNP,SNP,231,66.1,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=66.1
BRANCO DESCONHECIDO,FURMINT,Parent 2,SNP,SNP,231,66.1,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=66.1
Branco De Guimaraes,RABIGATO,Parent 1,SNP,SNP,231,73.1,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=73.1
Branco De Guimaraes,CASTELLANA BLANCA,Parent 2,SNP,SNP,231,73.1,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=73.1
