dvit_id,grin_acc,grin_name,taxonomy,origin,passQC,vivc_match,match_score,match_via
DVIT_8198,DVIT 8198,Cattarrato,Vitis vinifera L. subsp. vinifera ,nan,True,CATARRATTO BIANCO COMUNE,94.73684210526316,synonym (CATTARATO)
,nan,nan,nan,nan,True,PRUNESTA (FALSE),100.0,synonym (NAN)
DVIT_2107,DVIT 2107,Ciotat,Vitis vinifera L. subsp. vinifera ,"California, United States",True,CHASSELAS CIOUTAT,100.0,synonym (CIOTAT)
DVIT_2433,DVIT 2433,Ladyfinger Mutant of Thompson Seedless4X,Vitis vinifera L. subsp. vinifera ,"Florida, United States",True,,0.0,
DVIT_565,DVIT 565,DVIT 565,Vitis vinifera L. subsp. vinifera ,nan,True,,0.0,
DVIT_645,DVIT 645,DVIT 645,Vitis vinifera L. subsp. vinifera ,nan,True,,0.0,
DVIT_8178,DVIT 8178,Thompson Seedless,Vitis vinifera L. subsp. vinifera ,"California, United States",True,SULTANINA,100.0,synonym (THOMPSON SEEDLESS)
DVIT_8193,DVIT 8193,Verdelho,Vitis vinifera L. subsp. vinifera ,"California, United States",True,VERDELHO BRANCO,100.0,synonym (VERDELHO)
DVIT_8201,DVIT 8201,Gara Arna-Girna,Vitis vinifera L. subsp. vinifera ,nan,True,BRAGHINA ROSIE,74.07407407407408,synonym (BRAGINA RARA)
GVIT_1610,GVIT 1610,Badacsony-10,Vitis vinifera L. subsp. vinifera ,"British Columbia, Canada",True,BADACSONY 22,75.0,prime name
GVIT_1630,GVIT 1630,E.S. 6-6-50,Vitis hybr.,"Wisconsin, United States",True,,0.0,
DVIT_1002,DVIT 1002,Vermentino Favorita,Vitis vinifera L. subsp. vinifera ,"California, United States",True,,0.0,
DVIT_1336,DVIT 1336,NY 32042,Vitis hybr.,"California, United States",True,ATHENS,75.0,synonym (NY 12046)
DVIT_1616,DVIT 1616,ILL.153-2,Vitis hybr.,"California, United States",True,,0.0,
DVIT_2431,DVIT 2431,Russian Seedless,Vitis vinifera L. subsp. vinifera ,"Florida, United States",True,BLACK MONUKKA,100.0,synonym (RUSSIAN SEEDLESS)
DVIT_2916,DVIT 2916,Jackson Sel. #3,Vitis vinifera L. subsp. vinifera ,"California, United States",True,,0.0,
DVIT_3048,DVIT 3048,Barrett B96-8-1,Vitis hybr.,"Florida, United States",True,,0.0,
DVIT_3292,DVIT 3292,XI 37/52,Vitis hybr.,Moldova,True,,0.0,
DVIT_367,DVIT 367,Canner,Vitis vinifera L. subsp. vinifera ,"California, United States",True,CANNER SEEDLESS,100.0,synonym (CANNER)
DVIT_433,DVIT 433,KHALILI,Vitis vinifera L. subsp. vinifera ,Afghanistan,True,KHALILI BELYI,100.0,synonym (KHALILI)
DVIT_458,DVIT 458,Memory of Queen Elizabeth,Vitis vinifera L. subsp. vinifera ,"Wien, Austria",True,ERZSEBET KIRALYNE EMLEKE,100.0,synonym (MEMORY OF QUEEN ELIZABETH)
DVIT_549,DVIT 549,White Corinth,Vitis vinifera L. subsp. vinifera ,"California, United States",True,KORINTHIAKI LEFKI,100.0,synonym (WHITE CORINTH)
DVIT_8190,DVIT 8190,Valdepenas,Vitis vinifera L. subsp. vinifera ,"California, United States",True,TEMPRANILLO TINTO,100.0,synonym (VALDEPENAS)
DVIT_8203,DVIT 8203,Han Uzyum,Vitis vinifera L. subsp. vinifera ,nan,True,BERDAKI,100.0,synonym (HAN UZYUM)
DVIT_8205,DVIT 8205,Inek Emdjeyi,Vitis vinifera L. subsp. vinifera ,nan,True,,0.0,
DVIT_8210,DVIT 8210,Nakchevanin Gara Shansi,Vitis vinifera L. subsp. vinifera ,nan,True,,0.0,
