child,parent1,parent2,vivc_number,vivc_color,vivc_species,vivc_pedigree_confirmed_markers,child_Vv_pct,child_NA1_pct,child_NA2_pct,child_Mus_pct,child_EA_pct,child_passQC,p1_Vv_pct,p1_NA1_pct,p1_NA2_pct,p1_Mus_pct,p1_EA_pct,p1_passQC,p2_Vv_pct,p2_NA1_pct,p2_NA2_pct,p2_Mus_pct,p2_EA_pct,p2_passQC,expected_Vv_pct,expected_NA1_pct,expected_NA2_pct,expected_Mus_pct,expected_EA_pct,mean_abs_deviation_pp,max_abs_deviation_pp,ancestry_consistency_score,support_category,existing_marker_support,child_match_methods,p1_match_methods,p2_match_methods,min_confirming_methods,child_ambiguous,p1_ambiguous,p2_ambiguous
ALWOOD,FREDONIA,ATHENS,383,NOIR,VITIS INTERSPECIFIC CROSSING,,32.6,0.0,67.4,0.0,0.1,True,23.6,0.2,76.1,0.0,0.1,True,0.0,50.0,50.0,0.0,0.0,True,11.8,25.1,63.05,0.0,0.05,10.06,25.1,0.8994,weak,ancestry_only,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,True,False
AMBER QUEEN,MARION,SCHIAVA GROSSA,413,ROUGE,VITIS INTERSPECIFIC CROSSING,view,50.2,21.0,28.8,0.0,0.0,True,0.0,50.1,49.9,0.0,0.0,True,100.0,0.0,0.0,0.0,0.0,True,50.0,25.05,24.95,0.0,0.0,1.62,4.05,0.9838,strong,SSR/SNP+ancestry,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,False,False
AMERBONTE,AMERICA,HERBEMONT,414,ROUGE,VITIS INTERSPECIFIC CROSSING,,35.3,10.8,53.3,0.0,0.6,True,1.6,34.6,63.5,0.0,0.3,True,11.1,12.6,7.8,25.3,43.2,False,6.35,23.6,35.65,12.65,21.75,18.64,28.95,0.8136,weak,ancestry_only,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,False,False
ATOKA,AMERICA,DELAWARE,748,NOIR,VITIS INTERSPECIFIC CROSSING,,38.7,10.4,49.9,0.0,1.0,True,1.6,34.6,63.5,0.0,0.3,True,46.1,24.9,29.0,0.0,0.0,True,23.85,29.75,46.25,0.0,0.15,7.74,19.35,0.9226,moderate,ancestry_only,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,False,False
AUGUST GIANT,MARION,SCHIAVA GROSSA,769,NOIR,VITIS INTERSPECIFIC CROSSING,,50.0,0.0,50.0,0.0,0.0,True,0.0,50.1,49.9,0.0,0.0,True,100.0,0.0,0.0,0.0,0.0,True,50.0,25.05,24.95,0.0,0.0,10.02,25.05,0.8998,weak,ancestry_only,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,False,False
BANNER,LINDLEY,DELAWARE,962,ROSE,VITIS INTERSPECIFIC CROSSING,,50.0,0.0,50.0,0.0,0.0,True,0.0,22.2,77.8,0.0,0.0,True,46.1,24.9,29.0,0.0,0.0,True,23.05,23.55,53.4,0.0,0.0,10.78,26.95,0.8922,weak,ancestry_only,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,False,False
BARBABLEU,OLIVETTE NOIRE,MUSCAT HAMBURG,967,NOIR,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,view,81.7,16.4,1.8,0.0,0.1,True,100.0,0.0,0.0,0.0,0.0,True,99.9,0.0,0.0,0.0,0.1,True,99.95,0.0,0.0,0.0,0.05,7.3,18.25,0.927,moderate,SSR/SNP+ancestry,M5_fuzzy(r=0.941),M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,1,False,False,False
BELL,ELVIRA,DELAWARE,1103,BLANC,VITIS INTERSPECIFIC CROSSING,,50.3,33.3,16.5,0.0,0.0,True,22.0,32.3,45.5,0.0,0.2,True,46.1,24.9,29.0,0.0,0.0,True,34.05,28.6,37.25,0.0,0.1,8.36,20.75,0.9164,moderate,ancestry_only,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,False,False
BELLINO,BLACK MOROCCO,SCHIAVA GROSSA,1109,NOIR,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,view,100.0,0.0,0.0,0.0,0.0,True,100.0,0.0,0.0,0.0,0.0,True,100.0,0.0,0.0,0.0,0.0,True,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,strong,SSR/SNP+ancestry,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,False,False
BERCKMANS,DELAWARE,CLINTON,1150,ROSE,VITIS INTERSPECIFIC CROSSING,,41.4,32.8,25.8,0.0,0.0,True,46.1,24.9,29.0,0.0,0.0,True,22.8,50.2,26.9,0.0,0.0,True,34.45,37.55,27.95,0.0,0.0,2.77,6.95,0.9723,strong,ancestry_only,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,False,False
BLACK QUEEN,BAILEY,GOLDEN QUEEN,1406,NOIR,VITIS INTERSPECIFIC CROSSING,,69.5,1.3,29.2,0.0,0.0,True,38.6,1.5,59.9,0.0,0.0,True,53.6,0.2,0.0,46.2,0.0,True,46.1,0.85,29.95,23.1,0.0,9.54,23.4,0.9046,moderate,ancestry_only,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,False,False
