GRIN_accessionID,GRIN_ACCESSION,GRIN_PLANT_NAME,GRIN_TAXONOMY,GRIN_GENEBANK,GRIN_ORIGIN,GRIN_DbID,passQC,missingness_rate,Vv_ancestry_pct,NA1_ancestry_pct,NA2_ancestry_pct,Mus_ancestry_pct,EA_ancestry_pct,vivc_prime_name,vivc_number,vivc_country_origin,vivc_species,vivc_color,vivc_parent1,vivc_parent2,vivc_pedigree_confirmed,match_methods,n_confirming_methods,origin_crossval,species_crossval,ambiguous_flag
DVIT_1,DVIT 1,Albania,Vitis hybr.,DAV,United States,1000022.0,True,0.2,33.5,0.4,65.8,0.0,0.3,ALBANIA,227,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,BLANC,TEN DOLLAR PRIZE X NORTON,HERBEMONT,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,OK,OK,False
DVIT_10,DVIT 10,Armalaga,Vitis hybr.,DAV,United States,1000410.0,True,0.2,76.4,0.0,23.3,0.2,0.0,ARMALAGA,612,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,BLANC,ARMLONG,MALAGA,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,OK,OK,False
PI_597300,PI 597300,Aris,Vitis hybr.,GEN,"Minnesota, United States",1014144.0,True,0.12,60.5,39.5,0.0,0.0,0.0,ARIS,605,GERMANY,VITIS INTERSPECIFIC CROSSING,BLANC,(OBERLIN 716) F1,RIESLING WEISS,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
PI_597291,PI 597291,Seyve Villard 61-339,Vitis hybr.,GEN,France,1013702.0,True,0.38,48.9,45.6,5.5,0.0,0.0,SEYVE VILLARD 61- 339,20486,FRANCE,VITIS INTERSPECIFIC CROSSING,NOIR,,,,M3_umlaut|M4_hybrid_spacing,2,OK,OK,False
PI_597289,PI 597289,Rubaiyat,Vitis hybr.,GEN,"Oklahoma, United States",1013610.0,True,0.12,49.0,15.3,35.7,0.0,0.0,RUBAIYAT,16927,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,NOIR,SEIBEL 5437,BAILEY,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
PI_597288,PI 597288,Seyve Villard 28-86,Vitis hybr.,GEN,France,1013567.0,True,0.42,54.2,38.6,7.2,0.0,0.0,SEYVE VILLARD 28- 86,11662,FRANCE,VITIS INTERSPECIFIC CROSSING,NOIR,,,,M3_umlaut|M4_hybrid_spacing,2,OK,OK,False
PI_597287,PI 597287,Bianca,Vitis hybr.,GEN,Hungary,1013353.0,True,0.1,73.1,22.1,4.0,0.0,0.7,BIANCA,1321,HUNGARY,VITIS INTERSPECIFIC CROSSING,BLANC,VILLARD BLANC,BOUVIER,view,M1_exact|M3_umlaut|M4_hybrid_spacing,3,OK,OK,False
PI_597283,PI 597283,Landot 6222,Vitis hybr.,GEN,France,1013141.0,True,0.12,56.4,37.7,5.2,0.0,0.7,LANDOT 6222,16532,FRANCE,VITIS INTERSPECIFIC CROSSING,NOIR,,,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,OK,OK,False
PI_597280,PI 597280,Patricia,Vitis hybr.,GEN,"Ontario, Canada",1012473.0,True,0.13,23.4,0.0,76.6,0.0,0.0,PATRICIA,8978,CANADA,VITIS INTERSPECIFIC CROSSING,NOIR,,,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,OK,OK,False
PI_597276,PI 597276,Joannes Seyve 26-674,Vitis hybr.,GEN,France,1012259.0,True,0.1,49.3,39.2,11.1,0.0,0.4,JOANNES SEYVE 26674,5814,FRANCE,VITIS INTERSPECIFIC CROSSING,BLANC,,,,M5_fuzzy(r=0.974),1,OK,OK,False
