child_variety,parent_variety,parent_role,evidence_type,marker_type,n_markers,lod_score,study_reference,doi,confirmed_year,confidence_level,notes
ABONDANT,KÖVIDINKA,Parent 1,SSR,SSR,20,33.14,Lacombe et al. 2013,10.1007/s00122-012-1988-2,2013,confirmed,Half validation of breeder's data. Confirmation of prior publication: IFV 2007 | nSSR: 20/0
ABONDANT,MADELEINE ROYALE,Parent 2,SSR,SSR,20,33.14,Lacombe et al. 2013,10.1007/s00122-012-1988-2,2013,confirmed,Half validation of breeder's data. Confirmation of prior publication: IFV 2007 | nSSR: 20/0
ADMIRABLE DE COURTILLER,BICANE,Parent 1,SSR,SSR,20,33.65,Lacombe et al. 2013,10.1007/s00122-012-1988-2,2013,confirmed,No information on the original cross. Confirmation of prior publication: IFV 2007; Ibañez 2009 | nSSR: 20/0
ADMIRABLE DE COURTILLER,F CHASSELAS,Parent 2,SSR,SSR,20,33.65,Lacombe et al. 2013,10.1007/s00122-012-1988-2,2013,confirmed,No information on the original cross. Confirmation of prior publication: IFV 2007; Ibañez 2009 | nSSR: 20/0
AETONYCHI MAVRO,KONTEGALO,Parent 1,SSR,SSR,20,35.8,Lacombe et al. 2013,10.1007/s00122-012-1988-2,2013,probable,nSSR: 20/1
AETONYCHI MAVRO,F HEPTAKILO,Parent 2,SSR,SSR,20,35.8,Lacombe et al. 2013,10.1007/s00122-012-1988-2,2013,probable,nSSR: 20/1
AGAPANTHE,SCHIRAS DR. HOUDBINE,Parent 1,SSR,SSR,20,40.59,Lacombe et al. 2013,10.1007/s00122-012-1988-2,2013,confirmed,nSSR: 20/0
AGAPANTHE,F CHASSELAS,Parent 2,SSR,SSR,20,40.59,Lacombe et al. 2013,10.1007/s00122-012-1988-2,2013,confirmed,nSSR: 20/0
AGOSTENGA ROSSA = PIROVANO 14 BELLINO,F PRÉCOCE DE MALINGRE,Parent 1,SSR,SSR,20,38.67,Lacombe et al. 2013,10.1007/s00122-012-1988-2,2013,confirmed,Validation of breeder's data. | nSSR: 20/0
AÏDA = PIROVANO 233,FRANKENTHAL = SCHIAVA GROSSA DELIZIA DI VAPRIO = PIROVANO 46 A,Parent 1,SSR,SSR,20,37.89,Lacombe et al. 2013,10.1007/s00122-012-1988-2,2013,confirmed,Validation of breeder's data. | nSSR: 20/0
AÏN EL BOUMA,OLIVETTE BLANCHE,Parent 1,SSR,SSR,20,32.6,Lacombe et al. 2013,10.1007/s00122-012-1988-2,2013,confirmed,nSSR: 20/0
AÏN EL BOUMA,F UGNI BLANC = TREBBIANO TOSCANO,Parent 2,SSR,SSR,20,32.6,Lacombe et al. 2013,10.1007/s00122-012-1988-2,2013,confirmed,nSSR: 20/0
AÏT HAMAMA,AMOKRANE,Parent 1,SSR,SSR,20,42.32,Lacombe et al. 2013,10.1007/s00122-012-1988-2,2013,confirmed,Confirmation of prior publication: Riahi 2010 | nSSR: 20/0
AÏT HAMAMA,AREKAK,Parent 2,SSR,SSR,20,42.32,Lacombe et al. 2013,10.1007/s00122-012-1988-2,2013,confirmed,Confirmation of prior publication: Riahi 2010 | nSSR: 20/0
ALARIJE = SUBIRAT PARENT,GIBI = HEBÉN,Parent 1,SSR,SSR,20,34.94,Lacombe et al. 2013,10.1007/s00122-012-1988-2,2013,confirmed,Confirmation of prior publication: Lacombe 2007 | nSSR: 20/0
ALARIJE = SUBIRAT PARENT,F TORTOZON,Parent 2,SSR,SSR,20,34.94,Lacombe et al. 2013,10.1007/s00122-012-1988-2,2013,confirmed,Confirmation of prior publication: Lacombe 2007 | nSSR: 20/0
ALBA IMPUTOTATO,SARFEHÉR,Parent 1,SSR,SSR,20,30.23,Lacombe et al. 2013,10.1007/s00122-012-1988-2,2013,probable,nSSR: 19/1
ALBA IMPUTOTATO,F HAMVAS,Parent 2,SSR,SSR,20,30.23,Lacombe et al. 2013,10.1007/s00122-012-1988-2,2013,probable,nSSR: 19/1
ALICANTE BLANC FAUX,FRANKENTHAL = SCHIAVA GROSSA FRANKENTHAL = SCHIAVA GROSSA,Parent 1,SSR,SSR,20,45.46,Lacombe et al. 2013,10.1007/s00122-012-1988-2,2013,confirmed,nSSR: 20/0
ALICANTE BRANCO TYPE 2,MALVASIA RASTEIRO = MANTHEUDO RABIGATO,Parent 1,SSR,SSR,20,43.14,Lacombe et al. 2013,10.1007/s00122-012-1988-2,2013,confirmed,Alternative. | nSSR: 20/0
ALICANTE BRANCO TYPE 2,SIRIA = CODEGA,Parent 1,SSR,SSR,20,43.14,Lacombe et al. 2013,10.1007/s00122-012-1988-2,2013,confirmed,Alternative. | nSSR: 20/0
ALICANTE BRANCO TYPE 2,RABIGATO,Parent 2,SSR,SSR,20,43.14,Lacombe et al. 2013,10.1007/s00122-012-1988-2,2013,confirmed,Alternative. | nSSR: 20/0
ALICANTE HENRI BOUSCHET,GRENACHE = GARNACHA,Parent 1,SSR,SSR,20,33.35,Lacombe et al. 2013,10.1007/s00122-012-1988-2,2013,confirmed,Validation of breeder's data. Confirmation of prior publication: Cabezas 2003; Cipriani 2010 | nSSR: 20/0
ALICANTE HENRI BOUSCHET,PETIT BOUSCHET,Parent 2,SSR,SSR,20,33.35,Lacombe et al. 2013,10.1007/s00122-012-1988-2,2013,confirmed,Validation of breeder's data. Confirmation of prior publication: Cabezas 2003; Cipriani 2010 | nSSR: 20/0
ALIGOTÉ,PINOT,Parent 1,SSR,SSR,20,39.21,Lacombe et al. 2013,10.1007/s00122-012-1988-2,2013,confirmed,"Confirmation of prior publication: Bowers 1998 and 1999, | nSSR: 20/0"
ALIGOTÉ,GOUAIS BLANC = HEUNISCH WEISS,Parent 2,SSR,SSR,20,39.21,Lacombe et al. 2013,10.1007/s00122-012-1988-2,2013,confirmed,"Confirmation of prior publication: Bowers 1998 and 1999, | nSSR: 20/0"
ALNWICK SEEDLING,BLACK MOROCCO,Parent 1,SSR,SSR,20,45.07,Lacombe et al. 2013,10.1007/s00122-012-1988-2,2013,confirmed,Half validation of breeder's data. | nSSR: 20/0
ALNWICK SEEDLING,F FRANKENTHAL = SCHIAVA GROSSA,Parent 2,SSR,SSR,20,45.07,Lacombe et al. 2013,10.1007/s00122-012-1988-2,2013,confirmed,Half validation of breeder's data. | nSSR: 20/0
ALPHONSE LAVALLÉE,MUSCAT DE HAMBOURG,Parent 1,SSR,SSR,20,36.2,Lacombe et al. 2013,10.1007/s00122-012-1988-2,2013,confirmed,No information on the original cross. Confirmation of prior publication: Ibañez 2009; Myles 2011 | nSSR: 20/0
ALPHONSE LAVALLÉE,GROS COLMAN,Parent 2,SSR,SSR,20,36.2,Lacombe et al. 2013,10.1007/s00122-012-1988-2,2013,confirmed,No information on the original cross. Confirmation of prior publication: Ibañez 2009; Myles 2011 | nSSR: 20/0
ALVAL,ALPHONSE LAVALLÉE,Parent 1,SSR,SSR,20,45.49,Lacombe et al. 2013,10.1007/s00122-012-1988-2,2013,confirmed,Validation of breeder's data. | nSSR: 20/0
ALVAL,DABOUKI,Parent 2,SSR,SSR,20,45.49,Lacombe et al. 2013,10.1007/s00122-012-1988-2,2013,confirmed,Validation of breeder's data. | nSSR: 20/0
ALVINA,SULTANINE,Parent 1,SSR,SSR,20,33.68,Lacombe et al. 2013,10.1007/s00122-012-1988-2,2013,confirmed,Validation of breeder's data. Confirmation of prior publication: Di Vecchi Staraz 2005; Ibañez 2009 | nSSR: 20/0
ALVINA,ALPHONSE LAVALLÉE,Parent 2,SSR,SSR,20,33.68,Lacombe et al. 2013,10.1007/s00122-012-1988-2,2013,confirmed,Validation of breeder's data. Confirmation of prior publication: Di Vecchi Staraz 2005; Ibañez 2009 | nSSR: 20/0
ANCORAT,SAMORIAU,Parent 1,SSR,SSR,20,30.32,Lacombe et al. 2013,10.1007/s00122-012-1988-2,2013,confirmed,nSSR: 20/0
ANCORAT,GOUAIS BLANC = HEUNISCH WEISS,Parent 2,SSR,SSR,20,30.32,Lacombe et al. 2013,10.1007/s00122-012-1988-2,2013,confirmed,nSSR: 20/0
ANGELO PIROVANO = PIROVANO 2 MUSCAT DE HAMBOURG,CHASSELAS,Parent 1,SSR,SSR,20,23.23,Lacombe et al. 2013,10.1007/s00122-012-1988-2,2013,probable,Validation of breeder's data. Confirmation of prior publication: | nSSR: 20/1
ANNAMARIA,PERLE DE CSABA,Parent 1,SSR,SSR,20,39.89,Lacombe et al. 2013,10.1007/s00122-012-1988-2,2013,confirmed,Validation of breeder's data. Confirmation of prior publication: | nSSR: 20/0
ANNAMARIA,DELIZIA DI VAPRIO = PIROVANO 46 A,Parent 2,SSR,SSR,20,39.89,Lacombe et al. 2013,10.1007/s00122-012-1988-2,2013,confirmed,Validation of breeder's data. Confirmation of prior publication: | nSSR: 20/0
ANTÃO VAZ,PARDINA = JAEN BLANCO,Parent 1,SSR,SSR,20,45.25,Lacombe et al. 2013,10.1007/s00122-012-1988-2,2013,confirmed,nSSR: 20/0
ANTÃO VAZ,JOÃO DOMINGOS,Parent 2,SSR,SSR,20,45.25,Lacombe et al. 2013,10.1007/s00122-012-1988-2,2013,confirmed,nSSR: 20/0
ARAGATZI,KHOUSSAÏNÉ BLANC,Parent 1,SSR,SSR,20,32.62,Lacombe et al. 2013,10.1007/s00122-012-1988-2,2013,probable,Validation of breeder's data. | nSSR: 20/1
ARAGATZI,SULTANINE,Parent 2,SSR,SSR,20,32.62,Lacombe et al. 2013,10.1007/s00122-012-1988-2,2013,probable,Validation of breeder's data. | nSSR: 20/1
ARAMON NOIR,OULIVEN,Parent 1,SSR,SSR,20,33.5,Lacombe et al. 2013,10.1007/s00122-012-1988-2,2013,confirmed,Half confirmation of prior publication: Boursiquot 2004 | nSSR: 20/0
ARAMON NOIR,F GOUAIS BLANC = HEUNISCH WEISS,Parent 2,SSR,SSR,20,33.5,Lacombe et al. 2013,10.1007/s00122-012-1988-2,2013,confirmed,Half confirmation of prior publication: Boursiquot 2004 | nSSR: 20/0
ARAMON BLANC DE LA CALMETTE ARAMON,PETIT BOUSCHET,Parent 1,SSR,SSR,20,41.45,Lacombe et al. 2013,10.1007/s00122-012-1988-2,2013,confirmed,Alternative.No information on the original cross. | nSSR: 20/0
ARAMON BLANC DE LA CALMETTE ARAMON,ARAMON NOIR,Parent 1,SSR,SSR,20,48.39,Lacombe et al. 2013,10.1007/s00122-012-1988-2,2013,confirmed,Alternative.No information on the original cross. | nSSR: 20/0
ARANEL,SAINT‐PIERRE DORÉ,Parent 1,SSR,SSR,20,32.71,Lacombe et al. 2013,10.1007/s00122-012-1988-2,2013,confirmed,Validation of breeder's data. Confirmation of prior publication: Di Vecchi Staraz 2005 | nSSR: 20/0
ARANEL,GRENACHE = GARNACHA,Parent 2,SSR,SSR,20,32.71,Lacombe et al. 2013,10.1007/s00122-012-1988-2,2013,confirmed,Validation of breeder's data. Confirmation of prior publication: Di Vecchi Staraz 2005 | nSSR: 20/0
ARDONA,CARDINAL = G 10‐30,Parent 1,SSR,SSR,20,36.81,Lacombe et al. 2013,10.1007/s00122-012-1988-2,2013,confirmed,Validation of breeder's data. | nSSR: 20/0
ARDONA,VERONA = PIROVANO 52,Parent 2,SSR,SSR,20,36.81,Lacombe et al. 2013,10.1007/s00122-012-1988-2,2013,confirmed,Validation of breeder's data. | nSSR: 20/0
ARINARNOA,CABERNET‐SAUVIGNON,Parent 1,SSR,SSR,20,49.79,Lacombe et al. 2013,10.1007/s00122-012-1988-2,2013,confirmed,Invalidation of breeder's data. Confirmation of prior publication: IFV 2007 | nSSR: 20/0
ARINARNOA,TANNAT,Parent 2,SSR,SSR,20,49.79,Lacombe et al. 2013,10.1007/s00122-012-1988-2,2013,confirmed,Invalidation of breeder's data. Confirmation of prior publication: IFV 2007 | nSSR: 20/0
