child_variety,parent_variety,parent_role,evidence_type,marker_type,n_markers,lod_score,study_reference,doi,confirmed_year,confidence_level,notes
Alicante (false),Cannonau (Garnacha tinta),,SNP (Vitis18K),SNP,~18000,3023.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,confirmed,LOD=3023; Mendelian errors=2 (7.0% if 0.07 else 0%); Section A
Alicante (false),Lucignola,,SNP (Vitis18K),SNP,~18000,3023.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,confirmed,LOD=3023; Mendelian errors=2 (7.0% if 0.07 else 0%); Section A
Casavecchia,Guarnaccia (false),,SNP (Vitis18K),SNP,~18000,3083.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,confirmed,LOD=3083; Mendelian errors=0 (0.0% if 0 else 0%); Section A
Casavecchia,Malvasia bianca di Candia,,SNP (Vitis18K),SNP,~18000,3083.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,confirmed,LOD=3083; Mendelian errors=0 (0.0% if 0 else 0%); Section A
Centesimino,Moscato violetto (Muscat rouge de Madère),,SNP (Vitis18K),SNP,~18000,3011.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,confirmed,LOD=3011; Mendelian errors=0 (0.0% if 0 else 0%); Section A
Centesimino,Sangiovese,,SNP (Vitis18K),SNP,~18000,3011.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,confirmed,LOD=3011; Mendelian errors=0 (0.0% if 0 else 0%); Section A
Giosana,Strinto porcino,,SNP (Vitis18K),SNP,~18000,3011.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,confirmed,LOD=3011; Mendelian errors=0 (0.0% if 0 else 0%); Section A
Giosana,Visparola,,SNP (Vitis18K),SNP,~18000,3011.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,confirmed,LOD=3011; Mendelian errors=0 (0.0% if 0 else 0%); Section A
Grilla,Strinto porcino,,SNP (Vitis18K),SNP,~18000,3010.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,confirmed,LOD=3010; Mendelian errors=0 (0.0% if 0 else 0%); Section A
Grilla,Visparola,,SNP (Vitis18K),SNP,~18000,3010.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,confirmed,LOD=3010; Mendelian errors=0 (0.0% if 0 else 0%); Section A
Iusana,Strinto porcino,,SNP (Vitis18K),SNP,~18000,3010.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,confirmed,LOD=3010; Mendelian errors=0 (0.0% if 0 else 0%); Section A
Iusana,Visparola,,SNP (Vitis18K),SNP,~18000,3010.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,confirmed,LOD=3010; Mendelian errors=0 (0.0% if 0 else 0%); Section A
Ladikino,Albanello,,SNP (Vitis18K),SNP,~18000,3429.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,confirmed,LOD=3429; Mendelian errors=1 (3.0% if 0.03 else 0%); Section A
Ladikino,Assouad karech,,SNP (Vitis18K),SNP,~18000,3429.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,confirmed,LOD=3429; Mendelian errors=1 (3.0% if 0.03 else 0%); Section A
Lievuso,Mantonico bianco,,SNP (Vitis18K),SNP,~18000,3045.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,confirmed,LOD=3045; Mendelian errors=2 (7.0% if 0.07 else 0%); Section A
Lievuso,Sangiovese,,SNP (Vitis18K),SNP,~18000,3045.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,confirmed,LOD=3045; Mendelian errors=2 (7.0% if 0.07 else 0%); Section A
Malvasia nera di Basilicata,Malvasia bianca lunga,,SNP (Vitis18K),SNP,~18000,3263.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,confirmed,LOD=3263; Mendelian errors=0 (0.0% if 0 else 0%); Section A
Malvasia nera di Basilicata,Somarello,,SNP (Vitis18K),SNP,~18000,3263.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,confirmed,LOD=3263; Mendelian errors=0 (0.0% if 0 else 0%); Section A
Occhi di Lepre,Mantonico bianco,,SNP (Vitis18K),SNP,~18000,3047.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,confirmed,LOD=3047; Mendelian errors=3 (10.0% if 0.1 else 0%); Section A
Occhi di Lepre,Sangiovese,,SNP (Vitis18K),SNP,~18000,3047.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,confirmed,LOD=3047; Mendelian errors=3 (10.0% if 0.1 else 0%); Section A
Sanguinella,Bombino bianco,,SNP (Vitis18K),SNP,~18000,3235.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,confirmed,LOD=3235; Mendelian errors=0 (0.0% if 0 else 0%); Section A
Sanguinella,Mostosa,,SNP (Vitis18K),SNP,~18000,3235.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,confirmed,LOD=3235; Mendelian errors=0 (0.0% if 0 else 0%); Section A
Signurina,Sultanina,,SNP (Vitis18K),SNP,~18000,3365.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,confirmed,LOD=3365; Mendelian errors=3 (9.0% if 0.09 else 0%); Section A
Signurina,Zibibbo (Moscato d'Alessandria),,SNP (Vitis18K),SNP,~18000,3365.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,confirmed,LOD=3365; Mendelian errors=3 (9.0% if 0.09 else 0%); Section A
Zagarese,Negro amaro,,SNP (Vitis18K),SNP,~18000,3009.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,confirmed,LOD=3009; Mendelian errors=0 (0.0% if 0 else 0%); Section A
Zagarese,Kosinjot,,SNP (Vitis18K),SNP,~18000,3009.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,confirmed,LOD=3009; Mendelian errors=0 (0.0% if 0 else 0%); Section A
Carricante,Strinto porcino,,SNP (Vitis18K),SNP,~18000,3011.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,disputed,"LOD=3011; Mendelian errors=0 (0.0% if 0 else 0%); Section B; Remarks: Invalidation of Cipriani et al., 2010 (Carricante was reported as a cross of 'Montonico pinto' and 'Scacco'; 'Scacco' is a synonym of 'Visparola')"
Carricante,Visparola,,SNP (Vitis18K),SNP,~18000,3011.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,disputed,"LOD=3011; Mendelian errors=0 (0.0% if 0 else 0%); Section B; Remarks: Invalidation of Cipriani et al., 2010 (Carricante was reported as a cross of 'Montonico pinto' and 'Scacco'; 'Scacco' is a synonym of 'Visparola')"
Celtica,Chardonnay,,SNP (Vitis18K),SNP,~18000,2939.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,confirmed,LOD=2939; Mendelian errors=2 (7.0% if 0.07 else 0%); Section C; Remarks: confirmation of breeder's data
Celtica,Riesling italico,,SNP (Vitis18K),SNP,~18000,2939.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,confirmed,LOD=2939; Mendelian errors=2 (7.0% if 0.07 else 0%); Section C; Remarks: confirmation of breeder's data
Ervi,Barbera,,SNP (Vitis18K),SNP,~18000,2960.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,confirmed,"LOD=2960; Mendelian errors=1 (3.0% if 0.03 else 0%); Section C; Remarks: confirmation of breeder's data; reported in VIVC, but not confirmed by markers"
Ervi,Croatina,,SNP (Vitis18K),SNP,~18000,2960.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,confirmed,"LOD=2960; Mendelian errors=1 (3.0% if 0.03 else 0%); Section C; Remarks: confirmation of breeder's data; reported in VIVC, but not confirmed by markers"
San Lorenzo,Cabernet sauvignon,,SNP (Vitis18K),SNP,~18000,2908.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,confirmed,LOD=2908; Mendelian errors=1 (3.0% if 0.03 else 0%); Section C; Remarks: confirmation of breeder's data
San Lorenzo,Trebbiano toscano,,SNP (Vitis18K),SNP,~18000,2908.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,confirmed,LOD=2908; Mendelian errors=1 (3.0% if 0.03 else 0%); Section C; Remarks: confirmation of breeder's data
Caprugnone,Abello,,SNP (Vitis18K),SNP,~18000,2859.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,confirmed,"LOD=2859; Mendelian errors=0 (0.0% if 0 else 0%); Section C; Remarks: confirmation of one of two possible pedigrees proposed by Cipriani et al., 2010"
Caprugnone,Termarina (Sciaccarello),,SNP (Vitis18K),SNP,~18000,2859.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,confirmed,"LOD=2859; Mendelian errors=0 (0.0% if 0 else 0%); Section C; Remarks: confirmation of one of two possible pedigrees proposed by Cipriani et al., 2010"
Aetonychi mavro,Heptakilo,,SNP (Vitis18K),SNP,~18000,3547.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,probable,"LOD=3547; Mendelian errors=1 (3.0% if 0.03 else 0%); Section D; Remarks: Lacombe et al., 2013"
Aetonychi mavro,Kontegalo,,SNP (Vitis18K),SNP,~18000,3547.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,probable,"LOD=3547; Mendelian errors=1 (3.0% if 0.03 else 0%); Section D; Remarks: Lacombe et al., 2013"
Ag isioum,Grozelmtevana Institutis,,SNP (Vitis18K),SNP,~18000,3338.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,probable,"LOD=3338; Mendelian errors=1 (3.0% if 0.03 else 0%); Section D; Remarks: Laucou et al., 2018"
Ag isioum,Koz uzyum,,SNP (Vitis18K),SNP,~18000,3338.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,probable,"LOD=3338; Mendelian errors=1 (3.0% if 0.03 else 0%); Section D; Remarks: Laucou et al., 2018"
Agua santa,Camarate,,SNP (Vitis18K),SNP,~18000,3251.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,probable,"LOD=3251; Mendelian errors=0 (0.0% if 0 else 0%); Section D; Remarks: Lacombe et al., 2013; Zinelabidine et al., 2012"
Agua santa,Castellana blanca,,SNP (Vitis18K),SNP,~18000,3251.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,probable,"LOD=3251; Mendelian errors=0 (0.0% if 0 else 0%); Section D; Remarks: Lacombe et al., 2013; Zinelabidine et al., 2012"
Ain el Bouma,Olivette blanche,,SNP (Vitis18K),SNP,~18000,3132.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,probable,"LOD=3132; Mendelian errors=1 (3.0% if 0.03 else 0%); Section D; Remarks: Lacombe et al., 2013"
Ain el Bouma,Trebbiano toscano,,SNP (Vitis18K),SNP,~18000,3132.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,probable,"LOD=3132; Mendelian errors=1 (3.0% if 0.03 else 0%); Section D; Remarks: Lacombe et al., 2013"
Alarije,Folha de figueira,,SNP (Vitis18K),SNP,~18000,3006.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,probable,"LOD=3006; Mendelian errors=1 (3.0% if 0.03 else 0%); Section D; Remarks: Lacombe et al., 2013"
Alarije,Heben,,SNP (Vitis18K),SNP,~18000,3006.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,probable,"LOD=3006; Mendelian errors=1 (3.0% if 0.03 else 0%); Section D; Remarks: Lacombe et al., 2013"
Albarossa,Chatus,,SNP (Vitis18K),SNP,~18000,2851.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,probable,"LOD=2851; Mendelian errors=0 (0.0% if 0 else 0%); Section D; Remarks: Unvalidation of breeder's data by Raimondi et al., 2017"
Albarossa,Barbera,,SNP (Vitis18K),SNP,~18000,2851.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,probable,"LOD=2851; Mendelian errors=0 (0.0% if 0 else 0%); Section D; Remarks: Unvalidation of breeder's data by Raimondi et al., 2017"
Albillo de Grenada,Folha de figueira,,SNP (Vitis18K),SNP,~18000,3006.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,probable,"LOD=3006; Mendelian errors=0 (0.0% if 0 else 0%); Section D; Remarks: Laucou et al., 2018"
Albillo de Grenada,Heben,,SNP (Vitis18K),SNP,~18000,3006.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,probable,"LOD=3006; Mendelian errors=0 (0.0% if 0 else 0%); Section D; Remarks: Laucou et al., 2018"
Alicante Bouschet,Cannonau (Garnacha tinta),,SNP (Vitis18K),SNP,~18000,3003.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,probable,"LOD=3003; Mendelian errors=2 (7.0% if 0.07 else 0%); Section D; Remarks: Cabezas et al., 2003; Cipriani et al., 2010; Lacombe et al., 2013; Laucou et al., 2018"
Alicante Bouschet,Petit Bouschet,,SNP (Vitis18K),SNP,~18000,3003.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,probable,"LOD=3003; Mendelian errors=2 (7.0% if 0.07 else 0%); Section D; Remarks: Cabezas et al., 2003; Cipriani et al., 2010; Lacombe et al., 2013; Laucou et al., 2018"
Allaren,Alfrocheiro preto,,SNP (Vitis18K),SNP,~18000,2669.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,probable,"LOD=2669; Mendelian errors=0 (0.0% if 0 else 0%); Section D; Remarks: Cunha et al., 2015; Zinelabidine et al., 2015"
Allaren,Heben,,SNP (Vitis18K),SNP,~18000,2669.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,probable,"LOD=2669; Mendelian errors=0 (0.0% if 0 else 0%); Section D; Remarks: Cunha et al., 2015; Zinelabidine et al., 2015"
Alphonse Lavallee,Dodrelyabi,,SNP (Vitis18K),SNP,~18000,3060.0,Lacombe & Emanuelli et al. 2020,10.3389/fpls.2020.605934,2021,probable,"LOD=3060; Mendelian errors=1 (3.0% if 0.03 else 0%); Section D; Remarks: Lacombe et al., 2013"
