child_variety,parent_variety,parent_role,evidence_type,marker_type,n_markers,lod_score,study_reference,doi,confirmed_year,confidence_level,notes
Aetonychi mavro,Heptakilo,,SNP (10K genome-wide),SNP,10207,3861,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=3861; Mendelian errors=2/10207; Previously: Lacombe et al. 2013
Aetonychi mavro,Kontegalo,,SNP (10K genome-wide),SNP,10207,3861,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=3861; Mendelian errors=2/10207; Previously: Lacombe et al. 2013
Ag isioum,Koz ouzioum,,SNP (10K genome-wide),SNP,10207,3535,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,LOD=3535; Mendelian errors=5/10207
Ag isioum,Institutis grdzelmtevana,,SNP (10K genome-wide),SNP,10207,3535,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,LOD=3535; Mendelian errors=5/10207
Agua Santa,Castelão = Periquita,,SNP (10K genome-wide),SNP,10195,3787,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=3787; Mendelian errors=0/10195; Previously: Zinelabidine et al. 2012
Agua Santa,Camarate,,SNP (10K genome-wide),SNP,10195,3787,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=3787; Mendelian errors=0/10195; Previously: Zinelabidine et al. 2012
Alarije,Gibi = Hebén,,SNP (10K genome-wide),SNP,10207,3068,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=3068; Mendelian errors=1/10207; Previously: Lacombe et al. 2013
Alarije,Tortozón,,SNP (10K genome-wide),SNP,10207,3068,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=3068; Mendelian errors=1/10207; Previously: Lacombe et al. 2013
Albillo de Granada,Gibi = Hebén,,SNP (10K genome-wide),SNP,10204,3126,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,LOD=3126; Mendelian errors=1/10204
Albillo de Granada,Tortozón,,SNP (10K genome-wide),SNP,10204,3126,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,LOD=3126; Mendelian errors=1/10204
Alicante Henri Bouschet,Garnacha tinta = Grenache,,SNP (10K genome-wide),SNP,10207,3038,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=3038; Mendelian errors=3/10207; Previously: Cabezas et al. 2003; Cipriani et al. 2010; Lacombe et al. 2013
Alicante Henri Bouschet,Petit Bouschet,,SNP (10K genome-wide),SNP,10207,3038,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=3038; Mendelian errors=3/10207; Previously: Cabezas et al. 2003; Cipriani et al. 2010; Lacombe et al. 2013
Allarén,Alfrocheiro preto,,SNP (10K genome-wide),SNP,10203,2752,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=2752; Mendelian errors=1/10203; Previously: Cunha et al. 2015; Zinelabidine et al. 2015
Allarén,Gibi = Hebén,,SNP (10K genome-wide),SNP,10203,2752,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=2752; Mendelian errors=1/10203; Previously: Cunha et al. 2015; Zinelabidine et al. 2015
Almeria nera,Ferral = Achladi,,SNP (10K genome-wide),SNP,10207,4351,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=4351; Mendelian errors=0/10207; Previously: Vargas et al. 2009
Almeria nera,Ohanes,,SNP (10K genome-wide),SNP,10207,4351,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=4351; Mendelian errors=0/10207; Previously: Vargas et al. 2009
Aragatzi,Khoussaïné blanc,,SNP (10K genome-wide),SNP,10200,3626,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=3626; Mendelian errors=3/10200; Previously: Lacombe et al. 2013
Aragatzi,Sultanine,,SNP (10K genome-wide),SNP,10200,3626,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=3626; Mendelian errors=3/10200; Previously: Lacombe et al. 2013
Arinto do Dão,Alfrocheiro preto,,SNP (10K genome-wide),SNP,10207,3020,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=3020; Mendelian errors=1/10207; Previously: Lacombe et al. 2013; Zinelabidine et al. 2015; Cunha et al. 2015
Arinto do Dão,Gibi = Hebén,,SNP (10K genome-wide),SNP,10207,3020,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=3020; Mendelian errors=1/10207; Previously: Lacombe et al. 2013; Zinelabidine et al. 2015; Cunha et al. 2015
Attiki,Alphonse Lavallée,,SNP (10K genome-wide),SNP,10205,3692,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=3692; Mendelian errors=2/10205; Previously: Lacombe et al. 2013
Attiki,Black monukka,,SNP (10K genome-wide),SNP,10205,3692,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=3692; Mendelian errors=2/10205; Previously: Lacombe et al. 2013
Bajor kék,Blank blauer,,SNP (10K genome-wide),SNP,10207,3456,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=3456; Mendelian errors=2/10207; Previously: Lacombe et al. 2013
Bajor kék,Goher,,SNP (10K genome-wide),SNP,10207,3456,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=3456; Mendelian errors=2/10207; Previously: Lacombe et al. 2013
Basilikumtraube,Chasselas,,SNP (10K genome-wide),SNP,10207,4046,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=4046; Mendelian errors=3/10207; Previously: Lacombe et al. 2013
Basilikumtraube,Pinot noir,,SNP (10K genome-wide),SNP,10207,4046,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=4046; Mendelian errors=3/10207; Previously: Lacombe et al. 2013
Bastardo espanhol,Trousseau,,SNP (10K genome-wide),SNP,10207,2845,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=2845; Mendelian errors=3/10207; Previously: Lacombe et al. 2013
Bastardo espanhol,Gibi = Hebén,,SNP (10K genome-wide),SNP,10207,2845,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=2845; Mendelian errors=3/10207; Previously: Lacombe et al. 2013
Bastardo Magaratchskii,Trousseau,,SNP (10K genome-wide),SNP,10207,3456,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=3456; Mendelian errors=3/10207; Previously: Lacombe et al. 2013
Bastardo Magaratchskii,Saperavi,,SNP (10K genome-wide),SNP,10207,3456,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=3456; Mendelian errors=3/10207; Previously: Lacombe et al. 2013
Bezoul el Aouda,Abouhou,,SNP (10K genome-wide),SNP,10207,3554,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=3554; Mendelian errors=5/10207; Previously: Lacombe et al. 2013
Bezoul el Aouda,Dedo de Dama,,SNP (10K genome-wide),SNP,10207,3554,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=3554; Mendelian errors=5/10207; Previously: Lacombe et al. 2013
Black monukka,Sultanine,,SNP (10K genome-wide),SNP,10207,4063,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=4063; Mendelian errors=2/10207; Previously: Lacombe et al. 2013
Black monukka,Ichkimar,,SNP (10K genome-wide),SNP,10207,4063,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=4063; Mendelian errors=2/10207; Previously: Lacombe et al. 2013
Breider 5-6,Siegerrebe,,SNP (10K genome-wide),SNP,10207,5315,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=5315; Mendelian errors=0/10207; Previously: Lacombe et al. 2013
Cainho,Alvarinho,,SNP (10K genome-wide),SNP,10207,4630,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=4630; Mendelian errors=6/10207; Previously: Díaz-Losada et al. 2011; Lacombe et al. 2013
Cainho,Amaral,,SNP (10K genome-wide),SNP,10207,4630,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=4630; Mendelian errors=6/10207; Previously: Díaz-Losada et al. 2011; Lacombe et al. 2013
Calabre,Muscat à petits grains blancs,,SNP (10K genome-wide),SNP,10193,3443,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=3443; Mendelian errors=5/10193; Previously: Lacombe et al. 2013
Calabre,Bicane,,SNP (10K genome-wide),SNP,10193,3443,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=3443; Mendelian errors=5/10193; Previously: Lacombe et al. 2013
Camarate,Alfrocheiro preto,,SNP (10K genome-wide),SNP,10198,3117,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=3117; Mendelian errors=1/10198; Previously: Zinelabidine et al. 2012; Lacombe et al. 2013; Cunha et al. 2015
Camarate,Cayetana blanca = Jaén blanco,,SNP (10K genome-wide),SNP,10198,3117,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=3117; Mendelian errors=1/10198; Previously: Zinelabidine et al. 2012; Lacombe et al. 2013; Cunha et al. 2015
Cardinal,Alphonse Lavallée,,SNP (10K genome-wide),SNP,10189,3206,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=3206; Mendelian errors=4/10189; Previously: IFV 2007; Ibáñez et al. 2009; Cipriani et al. 2010; Lacombe et al. 2013
Cardinal,Reine des Vignes,,SNP (10K genome-wide),SNP,10189,3206,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=3206; Mendelian errors=4/10189; Previously: IFV 2007; Ibáñez et al. 2009; Cipriani et al. 2010; Lacombe et al. 2013
Carina (Australie),Syrah,,SNP (10K genome-wide),SNP,10194,3390,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=3390; Mendelian errors=5/10194; Previously: Lacombe et al. 2013
Carina (Australie),Sultanine,,SNP (10K genome-wide),SNP,10194,3390,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=3390; Mendelian errors=5/10194; Previously: Lacombe et al. 2013
Castelão = Periquita,Alfrocheiro preto,,SNP (10K genome-wide),SNP,10207,2979,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=2979; Mendelian errors=1/10207; Previously: Zinelabidine et al. 2012; Lacombe et al. 2013; Cunha et al. 2015
Castelão = Periquita,Cayetana blanca = Jaén blanco,,SNP (10K genome-wide),SNP,10207,2979,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=2979; Mendelian errors=1/10207; Previously: Zinelabidine et al. 2012; Lacombe et al. 2013; Cunha et al. 2015
Castets = Maturana tinta de Navarrete,Gros Cabernet,,SNP (10K genome-wide),SNP,10207,3902,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=3902; Mendelian errors=5/10207; Previously: Lacombe et al. 2013
Castets = Maturana tinta de Navarrete,Camaraou noir,,SNP (10K genome-wide),SNP,10207,3902,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=3902; Mendelian errors=5/10207; Previously: Lacombe et al. 2013
César,Pinot noir,,SNP (10K genome-wide),SNP,10201,3439,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=3439; Mendelian errors=1/10201; Previously: Lacombe et al. 2013
César,Argant,,SNP (10K genome-wide),SNP,10201,3439,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=3439; Mendelian errors=1/10201; Previously: Lacombe et al. 2013
Chardonnay,Gouais blanc,,SNP (10K genome-wide),SNP,10207,3311,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=3311; Mendelian errors=5/10207; Previously: Bowers et al. 1998 and 1999; Regner et al. 1998 and 2000; Lacombe et al. 2013
Chardonnay,Pinot noir,,SNP (10K genome-wide),SNP,10207,3311,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=3311; Mendelian errors=5/10207; Previously: Bowers et al. 1998 and 1999; Regner et al. 1998 and 2000; Lacombe et al. 2013
Cornichon blanc (non-identified),Chasselas,,SNP (10K genome-wide),SNP,10207,3991,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,LOD=3991; Mendelian errors=5/10207
Cornichon blanc (non-identified),Bicane,,SNP (10K genome-wide),SNP,10207,3991,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,LOD=3991; Mendelian errors=5/10207
Cornifesto,Alfrocheiro preto,,SNP (10K genome-wide),SNP,10201,3097,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=3097; Mendelian errors=4/10201; Previously: Zinelabidine et al. 2012; Lacombe et al. 2013; Cunha et al. 2015
Cornifesto,Cayetana blanca = Jaén blanco,,SNP (10K genome-wide),SNP,10201,3097,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=3097; Mendelian errors=4/10201; Previously: Zinelabidine et al. 2012; Lacombe et al. 2013; Cunha et al. 2015
Criolla grande sanjuanina,Mission = Listán prieto,,SNP (10K genome-wide),SNP,10207,3097,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=3097; Mendelian errors=2/10207; Previously: This et al. 2006; Milla Tapia et al. 2007; Lacombe et al. 2013
Criolla grande sanjuanina,Muscat d'Alexandrie,,SNP (10K genome-wide),SNP,10207,3097,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=3097; Mendelian errors=2/10207; Previously: This et al. 2006; Milla Tapia et al. 2007; Lacombe et al. 2013
Datal,Muscat d'Alexandrie,,SNP (10K genome-wide),SNP,10207,3318,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=3318; Mendelian errors=4/10207; Previously: Lacombe et al. 2013
Datal,Dattier de Beyrouth,,SNP (10K genome-wide),SNP,10207,3318,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=3318; Mendelian errors=4/10207; Previously: Lacombe et al. 2013
Deckrot,Teinturier,,SNP (10K genome-wide),SNP,10182,4467,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=4467; Mendelian errors=2/10182; Previously: Lacombe et al. 2013
Deckrot,Pinot noir,,SNP (10K genome-wide),SNP,10182,4467,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=4467; Mendelian errors=2/10182; Previously: Lacombe et al. 2013
Diagalves,Dedo de Dama,,SNP (10K genome-wide),SNP,10204,2847,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=2847; Mendelian errors=6/10204; Previously: Lacombe et al. 2013; Zinelabidine et al. 2015
Diagalves,Gibi = Hebén,,SNP (10K genome-wide),SNP,10204,2847,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=2847; Mendelian errors=6/10204; Previously: Lacombe et al. 2013; Zinelabidine et al. 2015
Dimiat,Gouais blanc,,SNP (10K genome-wide),SNP,10207,3132,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=3132; Mendelian errors=5/10207; Previously: Boursiquot et al. 2004; Lacombe et al. 2010; Lacombe et al. 2013
Dimiat,Coarna alba,,SNP (10K genome-wide),SNP,10207,3132,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=3132; Mendelian errors=5/10207; Previously: Boursiquot et al. 2004; Lacombe et al. 2010; Lacombe et al. 2013
Doight du neigne,Assoued kere,,SNP (10K genome-wide),SNP,10206,4133,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=4133; Mendelian errors=3/10206; Previously: Lacombe et al. 2013
Doight du neigne,Asswad Abou Khislé,,SNP (10K genome-wide),SNP,10206,4133,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=4133; Mendelian errors=3/10206; Previously: Lacombe et al. 2013
Domina,Pinot noir,,SNP (10K genome-wide),SNP,10207,4043,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=4043; Mendelian errors=5/10207; Previously: Lacombe et al. 2013
Domina,Portugais bleu,,SNP (10K genome-wide),SNP,10207,4043,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=4043; Mendelian errors=5/10207; Previously: Lacombe et al. 2013
Dona Maria,Muscat d'Alexandrie,,SNP (10K genome-wide),SNP,10197,3421,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=3421; Mendelian errors=1/10197; Previously: Vargas et al. 2009; Lacombe et al. 2013
Dona Maria,Dattier de Beyrouth,,SNP (10K genome-wide),SNP,10197,3421,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=3421; Mendelian errors=1/10197; Previously: Vargas et al. 2009; Lacombe et al. 2013
Douradinha,Alfrocheiro preto,,SNP (10K genome-wide),SNP,10203,3661,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=3661; Mendelian errors=3/10203; Previously: Lacombe et al. 2013; Cunha et al. 2015
Douradinha,Amaral,,SNP (10K genome-wide),SNP,10203,3661,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=3661; Mendelian errors=3/10203; Previously: Lacombe et al. 2013; Cunha et al. 2015
Ferral (Spain) = Uvallon,Gibi = Hebén,,SNP (10K genome-wide),SNP,10202,2919,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,LOD=2919; Mendelian errors=0/10202
Ferral (Spain) = Uvallon,Breval negro,,SNP (10K genome-wide),SNP,10202,2919,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,LOD=2919; Mendelian errors=0/10202
Flora,Savagnin blanc,,SNP (10K genome-wide),SNP,10207,3838,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=3838; Mendelian errors=0/10207; Previously: Dangl 2006; Lacombe et al. 2010; Myles et al. 2011; Lacombe et al. 2013
Flora,Semillon,,SNP (10K genome-wide),SNP,10207,3838,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=3838; Mendelian errors=0/10207; Previously: Dangl 2006; Lacombe et al. 2010; Myles et al. 2011; Lacombe et al. 2013
Fogoneu,Murescu = Escursach,,SNP (10K genome-wide),SNP,10207,2996,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=2996; Mendelian errors=5/10207; Previously: García-Muñoz 2011; Lacombe et al. 2013
Fogoneu,Mancens = Giro de Baleares,,SNP (10K genome-wide),SNP,10207,2996,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=2996; Mendelian errors=5/10207; Previously: García-Muñoz 2011; Lacombe et al. 2013
Furmint,Gouais blanc,,SNP (10K genome-wide),SNP,10201,3258,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=3258; Mendelian errors=2/10201; Previously: Lacombe et al. 2013
Furmint,Alba imputotato,,SNP (10K genome-wide),SNP,10201,3258,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=3258; Mendelian errors=2/10201; Previously: Lacombe et al. 2013
Galotta,Gamay,,SNP (10K genome-wide),SNP,10207,4275,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=4275; Mendelian errors=2/10207; Previously: Lacombe et al. 2013
Galotta,Ancellotta,,SNP (10K genome-wide),SNP,10207,4275,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=4275; Mendelian errors=2/10207; Previously: Lacombe et al. 2013
Gamay,Gouais blanc,,SNP (10K genome-wide),SNP,10207,3413,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=3413; Mendelian errors=5/10207; Previously: Bowers et al. 1999; Lacombe et al. 2013
Gamay,Pinot noir,,SNP (10K genome-wide),SNP,10207,3413,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=3413; Mendelian errors=5/10207; Previously: Bowers et al. 1999; Lacombe et al. 2013
Garro,Graciano = Morrastel,,SNP (10K genome-wide),SNP,10207,3189,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=3189; Mendelian errors=1/10207; Previously: García-Muñoz 2011; Lacombe et al. 2013; Zinelabidine et al. 2015
Garro,Gibi = Hebén,,SNP (10K genome-wide),SNP,10207,3189,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=3189; Mendelian errors=1/10207; Previously: García-Muñoz 2011; Lacombe et al. 2013; Zinelabidine et al. 2015
Goher,Lisztes feher,,SNP (10K genome-wide),SNP,10193,3288,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=3288; Mendelian errors=1/10193; Previously: Lacombe et al. 2013
Goher,Alba imputotato,,SNP (10K genome-wide),SNP,10193,3288,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=3288; Mendelian errors=1/10193; Previously: Lacombe et al. 2013
Grand Noir de la Calmette,Graciano = Morrastel,,SNP (10K genome-wide),SNP,10201,3246,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,confirmed,LOD=3246; Mendelian errors=2/10201; Previously: Lacombe et al. 2013
