child_variety,parent_variety,parent_role,evidence_type,marker_type,n_markers,lod_score,study_reference,doi,confirmed_year,confidence_level,notes
AGARAKI,SEYANETS 1563/1+21,Parent 1,SSR,SSR,24.0,50.1063903918671,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
AGARAKI,KARMRAHYUT,Parent 2,SSR,SSR,24.0,50.1063903918671,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
AIGEZARD,KATTA KURGAN,Parent 1,SSR,SSR,24.0,45.4535417262012,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
AIGEZARD,PARKENT,Parent 2,SSR,SSR,24.0,45.4535417262012,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
ANAHIT,ANGUR KALAN,Parent 1,SSR,SSR,24.0,39.4342018611356,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
ANAHIT,MUSCAT HAMBURG,Parent 2,SSR,SSR,24.0,39.4342018611356,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
ANUSH,ARMENIA,Parent 1,SSR,SSR,24.0,44.3980076708995,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,"Half confirmation of breeder's data: confirmation of P1, new P2 | Margaryan 2021 Biology 10:1279; 24 nSSR loci"
ANUSH,ESKERI,Parent 2,SSR,SSR,24.0,44.3980076708995,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,"Half confirmation of breeder's data: confirmation of P1, new P2 | Margaryan 2021 Biology 10:1279; 24 nSSR loci"
ANUSHAYUT,SEYANETS S 1262,Parent 1,SSR,SSR,24.0,47.4855006952073,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
ANUSHAYUT,KARMRAHYUT,Parent 2,SSR,SSR,24.0,47.4855006952073,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
ANUSHIK,ANGUR KALAN,Parent 1,SSR,SSR,24.0,35.5563309510178,Margaryan et al. 2021,10.3390/biology10121279,2021,rejected,"Invalidation of breeders data: new P1, new P2 | Margaryan 2021 Biology 10:1279; 24 nSSR loci"
ANUSHIK,CSABA GYOENGYE,Parent 2,SSR,SSR,24.0,35.5563309510178,Margaryan et al. 2021,10.3390/biology10121279,2021,rejected,"Invalidation of breeders data: new P1, new P2 | Margaryan 2021 Biology 10:1279; 24 nSSR loci"
ARAGATSI,KHUSAINE BELYI,Parent 1,SSR,SSR,24.0,45.2954608325319,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Confirmation of breeder's data. Confirmation of prior publication: Lacombe et al. 2013 | Margaryan 2021 Biology 10:1279; 24 nSSR loci
ARAGATSI,SULTANINA,Parent 2,SSR,SSR,24.0,45.2954608325319,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Confirmation of breeder's data. Confirmation of prior publication: Lacombe et al. 2013 | Margaryan 2021 Biology 10:1279; 24 nSSR loci
AREVABUYR,ANGUR KALAN,Parent 1,SSR,SSR,24.0,41.6845636827412,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,No information on the original cross | Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
AREVABUYR,ITALIA,Parent 2,SSR,SSR,24.0,41.6845636827412,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,No information on the original cross | Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
AREVSHAT,KATTA KURGAN,Parent 1,SSR,SSR,24.0,41.0848314021154,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
AREVSHAT,PARKENT,Parent 2,SSR,SSR,24.0,41.0848314021154,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
ARPA,KARMRAHYUT,Parent 1,SSR,SSR,24.0,43.1648630630817,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,No information on the original cross | Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
ARPA,SEYANETS S 1262,Parent 2,SSR,SSR,24.0,43.1648630630817,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,No information on the original cross | Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
ARTASHATI KARMIR,SEYANETS S 1262,Parent 1,SSR,SSR,24.0,47.4996893729212,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
