alias,canonical_vivc_name,source,match_score
TRAMINER,SAVAGNIN BLANC,manual,100.0
GEWURZ TRAMINER,GEWUERZTRAMINER,manual,100.0
SAVAGNIN = TRAMINER,SAVAGNIN BLANC,manual,100.0
PINOT GRIGIO,PINOT GRIS,manual,100.0
SHIRAZ,SYRAH,manual,100.0
PETITE SIRAH,DURIF,manual,100.0
MALBEC,COT,manual,100.0
AUXERROIS BLANC,AUXERROIS,manual,100.0
AUXERROIS GROS,AUXERROIS,manual,100.0
MELON DE BOURGOGNE,MELON,manual,100.0
MOURVEDRE,MONASTRELL,manual,100.0
MOURVÈDRE,MONASTRELL,manual,100.0
MATARO,MONASTRELL,manual,100.0
MORRASTEL,GRACIANO,manual,100.0
PRIMITIF,PRIMITIVO,manual,100.0
CRLJENAK KASTELANSKI,PRIMITIVO,manual,100.0
TRIBIDRAG,PRIMITIVO,manual,100.0
ZINFANDEL,PRIMITIVO,manual,100.0
VITIS RIPARIA GLOIRE,RIPARIA GLOIRE DE MONTPELLIER,manual,100.0
GLOIRE DE MONTPELLIER,RIPARIA GLOIRE DE MONTPELLIER,manual,100.0
VITIS RIPARIA GLOIRE DE MONTPELLIER,RIPARIA GLOIRE DE MONTPELLIER,manual,100.0
RIPARIA GLOIRE,RIPARIA GLOIRE DE MONTPELLIER,manual,100.0
GOUAIS BLANC,HEUNISCH WEISS,manual,100.0
WEISSER HEUNISCH,HEUNISCH WEISS,manual,100.0
HEUNISCH,HEUNISCH WEISS,manual,100.0
MAGDELEINE NOIRE,MAGDELEINE NOIRE DES CHARENTES,manual,100.0
HEBIEN,HEBEN,manual,100.0
SANGIOVESE GROSSO,SANGIOVESE,manual,100.0
BRUNELLO,SANGIOVESE,manual,100.0
MORELLINO,SANGIOVESE,manual,100.0
PRUGNOLO GENTILE,SANGIOVESE,manual,100.0
GRENACHE,GARNACHA TINTA,manual,100.0
GRENACHE NOIR,GARNACHA TINTA,manual,100.0
GARNACHA,GARNACHA TINTA,manual,100.0
CARIGNAN,CARIGNAN NOIR,manual,100.0
MAZUELO,CARIGNAN NOIR,manual,100.0
TEMPRANILLO TINTA DEL PAIS,TEMPRANILLO TINTO,manual,100.0
TINTA DEL PAIS,TEMPRANILLO TINTO,manual,100.0
ULL DE LLEBRE,TEMPRANILLO TINTO,manual,100.0
CENCIBEL,TEMPRANILLO TINTO,manual,100.0
TINTO FINO,TEMPRANILLO TINTO,manual,100.0
PERIQUITA,CASTELAO,manual,100.0
JOAO DE SANTAREM,CASTELAO,manual,100.0
CASTELAO FRANCES,CASTELAO,manual,100.0
LEMBERGER,BLAUFRAENKISCH,manual,100.0
BLAUER LIMBERGER,BLAUFRAENKISCH,manual,100.0
FRANKOVKA,BLAUFRAENKISCH,manual,100.0
KEKFRANKOS,BLAUFRAENKISCH,manual,100.0
UGNI BLANC,TREBBIANO TOSCANO,manual,100.0
SAINT EMILION,TREBBIANO TOSCANO,manual,100.0
CHABLIS,CHARDONNAY BLANC,manual,100.0
