vivc_prime_name,vivc_no,vivc_origin,vivc_species,vivc_color,vivc_parent1,vivc_parent2,in_passport,in_marker_support,in_vivc_confirmed,in_constantini_2026,in_myles_2011,in_lacombe_2013,in_oliveira_2020,in_lac_emanuelli_2020,in_laucou_2018,in_liang_2019,in_grin_pedigree,in_grin_alignment,in_ssr_vivc,in_ssr_migliaro,in_ssr_lacombe,in_ssr_oliveira,in_node_profile,n_sources,name_in_marker_support,name_in_vivc_confirmed,name_in_constantini_2026,name_in_myles_2011,name_in_lacombe_2013,name_in_oliveira_2020,name_in_lac_emanuelli_2020,name_in_laucou_2018,name_in_liang_2019,name_in_grin_pedigree,name_in_grin_alignment,grin_accession_id,grin_match_methods,is_alias,aliases,in_alias_map,passport_candidate
PINOT NOIR,9279,FRANCE,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,?,SAVAGNIN BLANC,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,15,PETIT VERDOT,PINOT,,,PINOT,,PINOT,,PINOT,,Pinot Noir,DVIT_8134,M1_exact|M3_umlaut|M4_hybrid_spacing,True,BLAUER SPATBURGUNDER; CLEVNER MARIAFELD; PETIT VERDOT; PINOT; PINOT FIN; RULANDER,True,
RIESLING WEISS,10077,GERMANY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,?,HEUNISCH WEISS,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,True,True,14,RIESLING,RIESLING,,,,,RIESLING,RIESLING,RIESLING,,Riesling,DVIT_8143,M2_alias,True,JOHANNISBURG RIESLING; RIESLING; WHITE RIESLING; WHITE RIESLING,True,
CABERNET FRANC,1927,FRANCE,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,,,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,True,13,,,,,,,,,,,CABERNET FRANC,DVIT_676,M1_exact|M3_umlaut|M4_hybrid_spacing,False,,False,
CABERNET SAUVIGNON,1929,FRANCE,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,CABERNET FRANC,SAUVIGNON BLANC,True,True,True,True,True,False,True,True,False,True,True,True,True,False,False,True,True,13,,,,,,,,,,,Cabernet Sauvignon,DVIT_677,M1_exact|M3_umlaut|M4_hybrid_spacing,False,,False,
CHARDONNAY BLANC,2455,FRANCE,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,HEUNISCH WEISS,PINOT,True,True,True,False,False,True,True,True,True,True,False,True,True,False,True,True,True,13,CHARDONNAY,,,,,,CHARDONNAY,CHARDONNAY,CHARDONNAY,,Chardonnay,DVIT_816,M2_alias,True,CHABLIS; CHARDONNAY; PINOT CHARDONNAY,True,
GAMAY NOIR,4377,FRANCE,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,HEUNISCH WEISS,PINOT NOIR,True,True,True,False,True,True,True,True,True,False,True,True,False,False,True,True,True,13,,,,,,,GAMAY,GAMAY,,,Gamay Noir,DVIT_8071,M1_exact|M3_umlaut|M4_hybrid_spacing,True,GAMAY; GAMAY ROND,True,
SYRAH,11748,FRANCE,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,MONDEUSE BLANCHE,DUREZA,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,13,,,,,,,,,,,,,,True,NEIRETTA; PETITE SYRAH; SHIRAZ,True,
CHENIN BLANC,2527,FRANCE,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,SAVAGNIN BLANC,?,True,True,True,False,True,True,True,True,True,False,True,True,False,False,False,True,True,12,,,,,,,CHENIN,CHENIN,,,Chenin blanc,DVIT_691,M1_exact|M3_umlaut|M4_hybrid_spacing,True,CHENIN; PINEAU DE LA LOIRE; STEEN; STEIN,True,
MERLOT NOIR,7657,FRANCE,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,MAGDELEINE NOIRE DES CHARENTES,CABERNET FRANC,True,True,True,True,False,True,True,True,True,True,False,True,False,False,True,False,True,12,MERLOT,,,,,,MERLOT,MERLOT,MERLOT,,Merlot,DVIT_826,M2_alias,True,MERLOT,True,
RUBY CABERNET,10313,UNITED STATES OF AMERICA,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,CARIGNAN NOIR,CABERNET SAUVIGNON,True,False,True,False,True,True,True,True,True,False,True,True,False,False,True,True,True,12,,,,,,,,,,,Ruby Cabernet,DVIT_8151,M1_exact|M3_umlaut|M4_hybrid_spacing,False,,False,
SAUVIGNON BLANC,10790,FRANCE,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,SAVAGNIN BLANC,?,True,True,True,True,True,False,True,True,False,True,True,True,False,False,False,True,True,12,,,,,,,,,,,Sauvignon Blanc,DVIT_8158,M1_exact|M3_umlaut|M4_hybrid_spacing,True,SAUVIGNON VERT; SAUVIGNON VERT,True,
DURIF,3738,FRANCE,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,SYRAH,PELOURSIN NOIR,True,True,True,False,True,True,True,False,False,False,True,True,False,False,True,True,True,11,PETITE SIRAH,,,,,,,,,,Durif,DVIT_895,M1_exact|M3_umlaut|M4_hybrid_spacing,True,PETITE SIRAH,True,
SAVAGNIN BLANC,17636,,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,,,True,True,True,False,True,True,True,False,True,True,False,True,False,False,True,False,True,11,,SAVAGNIN = TRAMINER,,,,,,,SAVAGNIN = TRAMINER,,Traminer,DVIT_8186,M2_alias,True,SAVAGNIN = TRAMINER; TRAMINER,True,
SEMILLON,11480,FRANCE,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,,,True,False,True,False,True,True,False,True,True,True,True,True,False,False,True,False,True,11,,,,,,,,,,,Semillon,DVIT_8163,M1_exact|M3_umlaut|M4_hybrid_spacing,False,,False,
TOURIGA NACIONAL,12594,PORTUGAL,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,,,True,True,True,False,False,True,True,True,True,False,False,True,False,False,True,True,True,11,,,,,,,,,,,Touriga Nacional,DVIT_8185,M1_exact|M3_umlaut|M4_hybrid_spacing,True,MORTAGUA; TOURIGA,True,
