prime_name,vivc_id,region
Agourane,1898,Unknown
Trad Fakas,3758,Unknown
Amessasse,1892,Unknown
Trad Monica femelle (Tunisie),3223,Unknown
Amir Ishak Ben El-Heit,3698,Unknown
Trad Outanant,2000,Unknown
Aneb Ahl El-Heit,3687,Unknown
Aneb Ahl Siari,3755,Unknown
Aneb bou Bezzoul,1897,Unknown
Aneb Mayssen,3754,Unknown
Trad Plant du Maroc E (Collection Meknès),2158,Unknown
Aneb Merouane Sami,3757,Unknown
Aneb Tarik,3753,Unknown
Trad Sbaa Tolba,3704,Unknown
Bezoul el Kelba,1899,Unknown
Trad Tinjdhafte,3752,Unknown
Bou Qsob faux,1994,Unknown
Avesso,2830,Unknown
Collection Torres S.A.),3790,Unknown
Blanca temprana Almeria,1973,Unknown
Bobal,29,Unknown
Collection Torres S.A.),3787,Unknown
Corropio,3831,Unknown
Doradilla,1414,Unknown
Collection Torres S.A.),3145,Unknown
Esganinho,3203,Unknown
Fernandella,3762,Unknown
Trad Planta mula,1364,Unknown
Fonte Cal,3201,Unknown
Trad Rabigato du Douro,2498,Unknown
Gateta,1363,Unknown
Trad Ratiño,3827,Unknown
Malvasia candida,3584,Unknown
Trad Ribote rose,3310,Unknown
Malvasia de Joncosa-de-Montmell,3795,Unknown
Santanera,3582,Unknown
Trad Sercial,1532,Unknown
Moravia agria,3579,Unknown
Trad Tinta castellõa,1540,Unknown
Panella,3305,Unknown
Trad Uva Cão,567,Unknown
Pedro Luis,1975,Unknown
Trad Verdelho tinto,3205,Unknown
Alabar,2010,Western Europe
Trad Grassen,110,Western Europe
Arbane,219,Western Europe
Trad Impérial (Collection Antibes),3511,Western Europe
Barbaroux,668,Western Europe
Trad Mancin,1216,Western Europe
Barducis,835,Western Europe
Mod Mauzac faux de Cahuzac,357,Western Europe
Blanc Auba,344,Western Europe
Vincentelli-Andréï),3085,Western Europe
Blancorna,240,Western Europe
Brustiano,122,Western Europe
Trad Plant d'Arrat,3094,Western Europe
Cayam,3106,Western Europe
Trad Plant de Montans (Daydé),3104,Western Europe
Corbeau,157,Western Europe
Cremilla,3080,Western Europe
Trad Pointu,191,Western Europe
Cruixen = Pampolat girat,3087,Western Europe
Trad San Antoni,40,Western Europe
Cualtacciu,3050,Western Europe
Trad Sauvaget noir,106,Western Europe
Estaca saouma,31,Western Europe
Trad Vintaïu,3070,Western Europe
Genovèse,121,Western Europe
Bondola,3483,Western Europe
Trad Rouge des Hombes,3771,Western Europe
Königstraube,2148,Western Europe
Trad Tantovina,1620,Western Europe
Orléans jaune,1577,Western Europe
Trad Wildrebe von Bauer,3477,Western Europe
Abbuoto,2363,Western Europe
Trad Gros rouge,3327,Western Europe
Albaranzeuli bianco,2342,Western Europe
Trad Lambrusco di Sorbara,2045,Western Europe
Angiola,1347,Western Europe
Trad Lambrusco viadanese,2351,Western Europe
Ansonica = Insolia,1307,Western Europe
Trad Luglienga blanc faux,3335,Western Europe
Arneis,2391,Western Europe
Trad Lumassina,3312,Western Europe
Arvesiniadu,2364,Western Europe
Trad Marsigliana nera,1968,Western Europe
Asprinio,1332,Western Europe
Trad Minnella bianca,2059,Western Europe
Avarengo,2218,Western Europe
Trad Montu,2050,Western Europe
Bellone,1338,Western Europe
Trad Negrara veronese = Negronza,2036,Western Europe
Bibiola,784,Western Europe
Trad Nerello Cappuccio,1321,Western Europe
Bonamico,1354,Western Europe
Trad Neretta cuneese,2404,Western Europe
Bonarda piemontese,1275,Western Europe
Trad Nuragus = Semidano,2022,Western Europe
Bracciola nera,2368,Western Europe
Trad Ortrugo,2040,Western Europe
Calabrese = Nero d'Avola,1316,Western Europe
Trad Pallagrello bianco,3334,Western Europe
Calatamuro nero,3191,Western Europe
Trad Pedevenda,1292,Western Europe
Canina nera,2369,Western Europe
Trad Perini nera,3322,Western Europe
Casetta,3181,Western Europe
Trad Piccolit,1308,Western Europe
Cesanese comune,1334,Western Europe
Trad Plassa,2219,Western Europe
Colombano faux,3179,Western Europe
Trad Rosetta di montagna,3323,Western Europe
Corbina vicentina o nostrana,1280,Western Europe
Trad Rossignola,1296,Western Europe
Corniola nera,1249,Western Europe
Trad Sagrantino,3574,Western Europe
Cortese,1256,Western Europe
Trad San Lorenzo,3575,Western Europe
Croa rosso,3175,Western Europe
Trad Sciascinoso,1331,Western Europe
Croatina,1278,Western Europe
Trad Sgavetta,2357,Western Europe
Dolcetto,1244,Western Europe
Trad Trebbiano Emiliano,3333,Western Europe
Doux d'Henry,2217,Western Europe
Trad Trebbiano spoletino,2414,Western Europe
Erbaluce,1337,Western Europe
Trad Trippa di bo rosso,3315,Western Europe
Falanghina,2400,Western Europe
Trad Uva di Trojanero,3338,Western Europe
Fiano,1260,Western Europe
Trad Verdea noir,3339,Western Europe
Forcellina,1283,Western Europe
Trad Verdealbara,3325,Western Europe
Frühe Meraner,3183,Western Europe
Trad Verduzzo friulano,1302,Western Europe
Fumin,2371,Western Europe
Trad Verduzzo trevigiano,2359,Western Europe
Grechetto,2375,Western Europe
Trad Vernaccia di San Gimignano,2360,Western Europe
Grechetto di Todi faux,3259,Western Europe
Greco bianco,2373,Western Europe
Greco di Tufo,1273,Western Europe
Grignolino,2041,Western Europe
Aptiche aga,61,Eastern Europe
Trad Galbena de Odobesti,2136,Eastern Europe
Badacsonyi Somzölö,82,Eastern Europe
Trad Gamza de Varna,2427,Eastern Europe
Burgrave de Hongrie,465,Eastern Europe
