child_variety,parent_variety,parent_role,evidence_type,marker_type,n_markers,lod_score,study_reference,doi,confirmed_year,confidence_level,notes
ANGELO PIROVANO,CHASSELAS ROSE,Parent 1,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,probable,ICS=0.9190; informative_loci=4469; exclusions=362; accession_child=4560195010_K; accession_parent=4560195107_A
ANGELO PIROVANO,MUSCAT HAMBURG,Parent 2,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,probable,ICS=0.9405; informative_loci=4304; exclusions=256; accession_child=4560195010_K; accession_parent=4560195016_G
BARBABLEU,OLIVETTE NOIRE,Parent 1,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,confirmed,ICS=0.9961; informative_loci=4612; exclusions=18; accession_child=4560195117_G; accession_parent=4560195017_C
BARBABLEU,MUSCAT HAMBURG,Parent 2,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,probable,ICS=0.9591; informative_loci=4355; exclusions=178; accession_child=4560195117_G; accession_parent=4560195016_G
BELLINO,BLACK MOROCCO,Parent 1,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,probable,ICS=0.9271; informative_loci=4514; exclusions=329; accession_child=4560195143_D; accession_parent=4560195171_L
BIEN DONNE,OHANES,Parent 1,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,confirmed,ICS=0.9957; informative_loci=4418; exclusions=19; accession_child=4560195174_B; accession_parent=4560195081_C
CABERNET SAUVIGNON,SAUVIGNON BLANC,Parent 2,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,confirmed,ICS=0.9934; informative_loci=4232; exclusions=28; accession_child=4560195159_A; accession_parent=4560195143_H
CALMERIA,OHANES,Parent 1,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,confirmed,ICS=0.9957; informative_loci=4419; exclusions=19; accession_child=4560195062_G; accession_parent=4560195081_C
CALZIN,PRIMITIVO,Parent 1,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,confirmed,ICS=0.9955; informative_loci=4456; exclusions=20; accession_child=4560195159_C; accession_parent=4560195015_K
CEREZA,MUSCAT OF ALEXANDRIA,Parent 1,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,confirmed,ICS=0.9965; informative_loci=4597; exclusions=16; accession_child=4560195148_H; accession_parent=4560195182_G
CHENIN BLANC,SAVAGNIN BLANC,Parent 1,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,confirmed,ICS=0.9943; informative_loci=4246; exclusions=24; accession_child=4560195083_I; accession_parent=4560195144_H
CONTE ROSSO,ALMERIA,Parent 1,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,probable,ICS=0.9449; informative_loci=4317; exclusions=238; accession_child=4560195128_J; accession_parent=4560195030_H
CONTE ROSSO,ANGELO PIROVANO,Parent 2,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,probable,ICS=0.9415; informative_loci=4443; exclusions=260; accession_child=4560195128_J; accession_parent=4560195010_K
DELIZIA DI VAPRIO,SICILIEN,Parent 1,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,probable,ICS=0.9368; informative_loci=4574; exclusions=289; accession_child=4560195093_H; accession_parent=4560195078_K
DELIZIA DI VAPRIO,MUSCAT OF ALEXANDRIA,Parent 2,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,confirmed,ICS=0.9963; informative_loci=4584; exclusions=17; accession_child=4560195093_H; accession_parent=4560195182_G
DORNFELDER,HEROLDREBE,Parent 2,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,probable,ICS=0.9231; informative_loci=4602; exclusions=354; accession_child=4560195136_E; accession_parent=4560195008_H
DURIF,SYRAH,Parent 1,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,confirmed,ICS=0.9945; informative_loci=4346; exclusions=24; accession_child=4560195126_J; accession_parent=4560195126_C
EARLY MUSCAT,MUSCAT HAMBURG,Parent 1,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,confirmed,ICS=0.9713; informative_loci=4362; exclusions=125; accession_child=4560195117_E; accession_parent=4560195016_G
EMPEROR,BEBA,Parent 2,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,probable,ICS=0.9113; informative_loci=4283; exclusions=380; accession_child=4560195010_G; accession_parent=4560195075_A
ERLIHANE,MUSCAT OF ALEXANDRIA,Parent 2,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,confirmed,ICS=0.9968; informative_loci=4355; exclusions=14; accession_child=4560195101_I; accession_parent=4560195182_G
EZERFUERTUE,HARSLEVELUE,Parent 1,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,confirmed,ICS=0.9960; informative_loci=4259; exclusions=17; accession_child=4560195013_K; accession_parent=4560195167_J
EZERFUERTUE,GEWUERZTRAMINER,Parent 2,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,confirmed,ICS=0.9955; informative_loci=4239; exclusions=19; accession_child=4560195013_K; accession_parent=4560195102_H
FOSTER'S WHITE SEEDLING,BLACK MOROCCO,Parent 1,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,probable,ICS=0.9256; informative_loci=4516; exclusions=336; accession_child=4560195064_A; accession_parent=4560195171_L
GAMAY NOIR,PINOT NOIR,Parent 2,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,probable,ICS=0.9573; informative_loci=3955; exclusions=169; accession_child=4560195125_G; accession_parent=4560195100_J
GOLDEN CHAMPION,MUSCAT OF ALEXANDRIA,Parent 2,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,probable,ICS=0.9346; informative_loci=4188; exclusions=274; accession_child=4560195028_F; accession_parent=4560195182_G
GOYURA,MUSCAT OF ALEXANDRIA,Parent 1,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,confirmed,ICS=0.9956; informative_loci=4584; exclusions=20; accession_child=4560195102_F; accession_parent=4560195182_G
GRILLO,MUSCAT OF ALEXANDRIA,Parent 2,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,probable,ICS=0.9356; informative_loci=4537; exclusions=292; accession_child=4560195091_A; accession_parent=4560195182_G
HARSLEVELUE,FURMINT,Parent 1,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,probable,ICS=0.9555; informative_loci=4222; exclusions=188; accession_child=4560195167_J; accession_parent=4560195139_C
HELENA,PRIMITIVO,Parent 1,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,confirmed,ICS=0.9941; informative_loci=4371; exclusions=26; accession_child=4560195092_L; accession_parent=4560195015_K
JULIUS CAESAR,CHASSELAS ROUGE,Parent 1,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,probable,ICS=0.9071; informative_loci=4411; exclusions=410; accession_child=4560195011_K; accession_parent=4560195181_H
JURANCON BLANC,FOLLE BLANCHE,Parent 1,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,confirmed,ICS=0.9954; informative_loci=4383; exclusions=20; accession_child=4560195008_A; accession_parent=4560195215_H
JURANCON NOIR,FOLLE BLANCHE,Parent 1,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,confirmed,ICS=0.9911; informative_loci=4389; exclusions=39; accession_child=4560195169_E; accession_parent=4560195215_H
JURANCON NOIR,COT,Parent 2,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,probable,ICS=0.9439; informative_loci=4420; exclusions=248; accession_child=4560195169_E; accession_parent=4560195158_H
LOMBARDIA,ANGELO PIROVANO,Parent 1,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,confirmed,ICS=0.9764; informative_loci=4535; exclusions=107; accession_child=4560195120_D; accession_parent=4560195010_K
MARIA PIROVANO,MUSCAT OF ALEXANDRIA,Parent 1,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,confirmed,ICS=0.9963; informative_loci=4552; exclusions=17; accession_child=4560195130_E; accession_parent=4560195182_G
MESLIER SAINT FRANCOIS,CHENIN BLANC,Parent 2,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,confirmed,ICS=0.9950; informative_loci=4225; exclusions=21; accession_child=4560195113_K; accession_parent=4560195083_I
MOSCATO D'ADDA,MUSCAT OF ALEXANDRIA,Parent 2,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,confirmed,ICS=0.9941; informative_loci=4566; exclusions=27; accession_child=4560195190_L; accession_parent=4560195182_G
MUSCAT HAMBURG,MUSCAT OF ALEXANDRIA,Parent 2,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,probable,ICS=0.9314; informative_loci=4590; exclusions=315; accession_child=4560195016_G; accession_parent=4560195182_G
NETTER,DABOUKI,Parent 1,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,confirmed,ICS=0.9934; informative_loci=4540; exclusions=30; accession_child=4560195220_I; accession_parent=4560195053_G
NETTER,MUSCAT HAMBURG,Parent 2,SNP array,Vitis9KSNP,6114,,Myles et al. 2011 (PNAS),10.1073/pnas.1009363108,2011,probable,ICS=0.9594; informative_loci=4167; exclusions=169; accession_child=4560195220_I; accession_parent=4560195016_G
