child_variety,parent_variety,parent_role,evidence_type,marker_type,n_markers,lod_score,study_reference,doi,confirmed_year,confidence_level,notes
ISABELLA,LABRUSCA,Parent 1,SSR,SSR,13,,de Oliveira et al. 2020,10.1371/journal.pone.0240665,2020,probable,SSR profile: Brazilian grapevine germplasm collection (IAC); 13 loci typed
ISABELLA,MESLIER PETIT,Parent 2,SSR,SSR,13,,de Oliveira et al. 2020,10.1371/journal.pone.0240665,2020,probable,SSR profile: Brazilian grapevine germplasm collection (IAC); 13 loci typed
CUNNINGHAM,AESTIVALIS,Parent 1,SSR,SSR,11,,de Oliveira et al. 2020,10.1371/journal.pone.0240665,2020,probable,SSR profile: Brazilian grapevine germplasm collection (IAC); 11 loci typed
CUNNINGHAM,MESLIER PETIT,Parent 2,SSR,SSR,11,,de Oliveira et al. 2020,10.1371/journal.pone.0240665,2020,probable,SSR profile: Brazilian grapevine germplasm collection (IAC); 11 loci typed
LINDLEY,PARENT 1 IS MOST LIKELY EXTINCT,Parent 1,SSR,SSR,13,,de Oliveira et al. 2020,10.1371/journal.pone.0240665,2020,probable,SSR profile: Brazilian grapevine germplasm collection (IAC); 13 loci typed
LINDLEY,CHASSELAS BLANC,Parent 2,SSR,SSR,13,,de Oliveira et al. 2020,10.1371/journal.pone.0240665,2020,probable,SSR profile: Brazilian grapevine germplasm collection (IAC); 13 loci typed
DURIF,SYRAH,Parent 1,SSR,SSR,17,,de Oliveira et al. 2020,10.1371/journal.pone.0240665,2020,probable,SSR profile: Brazilian grapevine germplasm collection (IAC); 17 loci typed
DURIF,PELOURSIN,Parent 2,SSR,SSR,17,,de Oliveira et al. 2020,10.1371/journal.pone.0240665,2020,probable,SSR profile: Brazilian grapevine germplasm collection (IAC); 17 loci typed
GRAND NOIR,GRACIANO,Parent 1,SSR,SSR,17,,de Oliveira et al. 2020,10.1371/journal.pone.0240665,2020,probable,SSR profile: Brazilian grapevine germplasm collection (IAC); 17 loci typed
GRAND NOIR,BOUSCHET PETIT,Parent 2,SSR,SSR,17,,de Oliveira et al. 2020,10.1371/journal.pone.0240665,2020,probable,SSR profile: Brazilian grapevine germplasm collection (IAC); 17 loci typed
RUBY CABERNET,CARIGNAN NOIR,Parent 1,SSR,SSR,14,,de Oliveira et al. 2020,10.1371/journal.pone.0240665,2020,probable,SSR profile: Brazilian grapevine germplasm collection (IAC); 14 loci typed
RUBY CABERNET,CABERNET SAUVIGNON,Parent 2,SSR,SSR,14,,de Oliveira et al. 2020,10.1371/journal.pone.0240665,2020,probable,SSR profile: Brazilian grapevine germplasm collection (IAC); 14 loci typed
RUBY CABERNET,CARIGNAN NOIR,Parent 1,SSR,SSR,14,,de Oliveira et al. 2020,10.1371/journal.pone.0240665,2020,probable,SSR profile: Brazilian grapevine germplasm collection (IAC); 14 loci typed
RUBY CABERNET,CABERNET‐SAUVIGNON,Parent 2,SSR,SSR,14,,de Oliveira et al. 2020,10.1371/journal.pone.0240665,2020,probable,SSR profile: Brazilian grapevine germplasm collection (IAC); 14 loci typed
SYRAH,DUREZA,Parent 1,SSR,SSR,13,,de Oliveira et al. 2020,10.1371/journal.pone.0240665,2020,probable,SSR profile: Brazilian grapevine germplasm collection (IAC); 13 loci typed
SYRAH,MONDEUSE BLANCHE,Parent 2,SSR,SSR,13,,de Oliveira et al. 2020,10.1371/journal.pone.0240665,2020,probable,SSR profile: Brazilian grapevine germplasm collection (IAC); 13 loci typed
RIESLING WEISS,HEUNISCH WEISS,Parent 1,SSR,SSR,17,,de Oliveira et al. 2020,10.1371/journal.pone.0240665,2020,probable,SSR profile: Brazilian grapevine germplasm collection (IAC); 17 loci typed
RIESLING WEISS,HEUNISCH WEISS,Parent 2,SSR,SSR,17,,de Oliveira et al. 2020,10.1371/journal.pone.0240665,2020,probable,SSR profile: Brazilian grapevine germplasm collection (IAC); 17 loci typed
