variety_name,vivc_no,ssr_VMC1b11_a1,ssr_VMC1b11_a2,ssr_VMC4f3_a1,ssr_VMC4f3_a2,ssr_VVIb01_a1,ssr_VVIb01_a2,ssr_VVIh54_a1,ssr_VVIh54_a2,ssr_VVIn16_a1,ssr_VVIn16_a2,ssr_VVIn73_a1,ssr_VVIn73_a2,ssr_VVIp31_a1,ssr_VVIp31_a2,ssr_VVIp60_a1,ssr_VVIp60_a2,ssr_VVIq52_a1,ssr_VVIq52_a2,ssr_VVIv37_a1,ssr_VVIv37_a2,ssr_VVIv67_a1,ssr_VVIv67_a2,ssr_VVMD21_a1,ssr_VVMD21_a2,ssr_VVMD24_a1,ssr_VVMD24_a2,ssr_VVMD25_a1,ssr_VVMD25_a2,ssr_VVMD27_a1,ssr_VVMD27_a2,ssr_VVMD28_a1,ssr_VVMD28_a2,ssr_VVMD32_a1,ssr_VVMD32_a2,ssr_VVMD5_a1,ssr_VVMD5_a2,ssr_VVMD7_a1,ssr_VVMD7_a2,ssr_VVS2_a1,ssr_VVS2_a2
Abondant,1553,165,184,171,181,294,294,165,177,149,157,263,265,178,182,315,319,79,83,159,159,368,371,247,247,210,210,248,254,178,184,216,247,251,271,225,238,247,249,141,149
Abouhou = Asserghin,1992,165,169,184,202,290,290,165,165,151,155,263,263,182,190,315,317,79,83,157,177,355,386,241,253,204,210,248,254,176,182,243,247,249,261,234,238,249,249,149,149
Abouriou,354,171,184,164,171,288,290,163,165,149,151,263,263,182,192,319,319,79,83,159,167,368,371,241,247,210,210,240,248,178,182,233,243,239,271,234,234,247,247,131,149
Adissi,2114,165,182,164,187,290,308,151,167,151,151,256,263,186,188,309,315,77,83,157,173,360,368,241,241,208,214,240,240,176,182,243,276,265,265,229,234,247,249,131,141
Admirable de Courtiller,814,171,184,177,184,290,290,163,167,149,157,263,263,180,180,315,319,79,83,149,159,358,360,247,247,206,206,240,254,182,191,233,267,239,239,223,234,239,243,131,135
Aetonychi mavro,1764,165,171,179,181,290,290,165,167,149,151,263,263,188,190,315,317,79,83,147,147,353,353,253,263,204,215,244,248,184,191,243,243,271,271,223,234,239,247,131,147
Agapanthe,2428,173,182,171,207,290,290,159,163,149,157,256,263,188,192,315,326,79,79,159,171,353,360,241,263,206,206,240,254,176,186,216,235,239,271,225,238,247,247,131,133
Ahmar Derani,2628,165,184,173,181,290,290,165,165,149,149,263,263,176,188,315,315,77,81,147,157,353,361,247,253,206,210,244,248,191,191,257,257,251,271,223,234,239,249,141,149
Ahmeur bou Ahmeur,710,184,184,187,187,290,294,165,167,149,151,263,263,182,190,319,319,77,83,155,157,353,361,247,253,206,206,254,266,180,191,247,253,251,255,229,236,239,249,133,145
Aïda = Pirovano 233,1010,165,171,171,205,294,306,165,165,149,149,263,263,190,192,319,319,77,81,155,171,360,368,246,247,206,210,248,254,178,191,235,243,251,271,229,236,247,249,131,133
Aïn el Bouma,1901,184,184,181,185,290,294,165,167,149,149,263,263,182,188,315,330,77,79,149,159,353,360,241,247,206,208,254,254,180,191,243,247,249,271,229,236,243,249,135,141
Aït Hamama,3700,184,188,173,181,294,306,157,165,151,151,263,263,174,188,317,319,79,83,159,159,371,371,253,253,206,206,240,254,176,186,235,257,249,261,223,223,249,249,131,135
Ak chekerek,2898,165,165,173,187,290,306,165,165,149,151,256,256,184,190,315,315,79,83,159,159,353,353,246,246,206,206,238,240,176,182,243,257,249,273,234,238,239,253,133,139
Alarije = Subirat Parent,1449,184,188,164,185,290,290,165,167,151,151,261,263,174,188,319,319,79,83,157,173,360,361,241,247,208,215,240,254,182,191,233,257,255,271,232,234,239,239,141,143
Alba imputotato,44,182,184,164,171,290,290,165,177,149,149,256,263,176,194,315,315,77,77,155,159,353,361,241,255,206,215,238,240,191,191,247,276,263,271,223,236,239,247,131,151
