vivc_prime_name,vivc_no,lacombe_variety_name,match_method,ssr_source,ssr_VVS2,ssr_VVMD5,ssr_VVMD7,ssr_VVMD25,ssr_VVMD27,ssr_VVMD28,ssr_VVMD32,ssr_VVMD21,ssr_VVMD24,ssr_VMC1b11,ssr_VMC4f3,ssr_VVIb01,ssr_VVIh54,ssr_VVIn16,ssr_VVIn73,ssr_VVIp31,ssr_VVIp60,ssr_VVIq52,ssr_VVIv37,ssr_VVIv67
ABONDANT,24,Abondant,exact_normalized,Lacombe et al. 2013,141/149,225/238,247/249,248/254,178/184,216/247,251/271,247/247,210/210,165/184,171/181,294/294,165/177,149/157,263/265,178/182,315/319,79/83,159/159,368/371
ABOUHOU,35,Abouhou = Asserghin,exact_part,Lacombe et al. 2013,149/149,234/238,249/249,248/254,176/182,243/247,249/261,241/253,204/210,165/169,184/202,290/290,165/165,151/155,263/263,182/190,315/317,79/83,157/177,355/386
ABOURIOU,34,Abouriou,exact_normalized,Lacombe et al. 2013,131/149,234/234,247/247,240/248,178/182,233/243,239/271,241/247,210/210,171/184,164/171,288/290,163/165,149/151,263/263,182/192,319/319,79/83,159/167,368/371
ADISSI,,Adissi,name_fallback,Lacombe et al. 2013,131/141,229/234,247/249,240/240,176/182,243/276,265/265,241/241,208/214,165/182,164/187,290/308,151/167,151/151,256/263,186/188,309/315,77/83,157/173,360/368
ADMIRABLE DE COURTILLER,68,Admirable de Courtiller,exact_normalized,Lacombe et al. 2013,131/135,223/234,239/243,240/254,182/191,233/267,239/239,247/247,206/206,171/184,177/184,290/290,163/167,149/157,263/263,180/180,315/319,79/83,149/159,358/360
AGAPANTHE,90,Agapanthe,exact_normalized,Lacombe et al. 2013,131/133,225/238,247/247,240/254,176/186,216/235,239/271,241/263,206/206,173/182,171/207,290/290,159/163,149/157,256/263,188/192,315/326,79/79,159/171,353/360
AHMAR DERANI,133,Ahmar Derani,exact_normalized,Lacombe et al. 2013,141/149,223/234,239/249,244/248,191/191,257/257,251/271,247/253,206/210,165/184,173/181,290/290,165/165,149/149,263/263,176/188,315/315,77/81,147/157,353/361
AHMEUR BOU AHMEUR,140,Ahmeur bou Ahmeur,exact_normalized,Lacombe et al. 2013,133/145,229/236,239/249,254/266,180/191,247/253,251/255,247/253,206/206,184/184,187/187,290/294,165/167,149/151,263/263,182/190,319/319,77/83,155/157,353/361
AIDA,146,Aïda = Pirovano 233,exact_part,Lacombe et al. 2013,131/133,229/236,247/249,248/254,178/191,235/243,251/271,246/247,206/210,165/171,171/205,294/306,165/165,149/149,263/263,190/192,319/319,77/81,155/171,360/368
AIN EL BOUMA,17384,Aïn el Bouma,exact_normalized,Lacombe et al. 2013,135/141,229/236,243/249,254/254,180/191,243/247,249/271,241/247,206/208,184/184,181/185,290/294,165/167,149/149,263/263,182/188,315/330,77/79,149/159,353/360
