variety_name,vivc_match,source,ssr_VVIn52_a1,ssr_VVIn52_a2,ssr_VVIn56_a1,ssr_VVIn56_a2,ssr_VVIn74_a1,ssr_VVIn74_a2,ssr_VVIp25b_a1,ssr_VVIp25b_a2,ssr_VVIr09_a1,ssr_VVIr09_a2,ssr_VVIr21_a1,ssr_VVIr21_a2,ssr_VVIv36_a1,ssr_VVIv36_a2,ssr_VVMD25_a1,ssr_VVMD25_a2,ssr_VVMD27_a1,ssr_VVMD27_a2,ssr_VVMD5_a1,ssr_VVMD5_a2,ssr_VVMD7_a1,ssr_VVMD7_a2,ssr_VVS2_a1,ssr_VVS2_a2,ssr_VVip31_a1,ssr_VVip31_a2,ssr_VVip77_a1,ssr_VVip77_a2,ssr_VViq57_a1,ssr_VViq57_a2,ssr_VrZAG62_a1,ssr_VrZAG62_a2,ssr_VrZAG79_a1,ssr_VrZAG79_a2
ISABELLA,ISABELLA,Oliveira_2020,98,120,189,193,304,304,,,,,188,200,175,179,241,249,180,184,240,240,235,249,123,151,,,,,182,186,202,204,237,247
IVES (BORDÔ),,Oliveira_2020,112,120,189,189,310,310,,,,,200,200,175,179,241,241,184,186,238,238,235,249,123,135,,,,,182,186,202,204,247,247
CONCORD #,,Oliveira_2020,98,120,189,193,304,304,344,376,,,188,200,175,179,241,249,180,184,240,240,235,249,123,151,191,195,200,210,182,186,202,204,237,247
ISABELÃO,,Oliveira_2020,98,120,189,193,,,344,376,,,188,200,175,179,241,249,180,184,240,240,235,249,123,151,191,195,,,182,186,202,204,237,247
ISABEL PRECOCE,,Oliveira_2020,98,120,189,193,,,,,,,188,200,175,179,241,249,180,184,240,240,235,249,123,151,,,,,182,186,202,204,237,247
CONCORD PRECOCE,,Oliveira_2020,96,114,189,189,,,,,,,186,202,169,181,241,241,186,186,238,238,235,241,125,133,,,186,210,182,182,202,206,247,259
BRS VIOLETA,,Oliveira_2020,96,120,189,193,304,304,344,372,278,284,200,204,169,175,241,249,182,186,238,238,235,241,123,149,195,201,200,210,182,186,202,202,,
BRS MARGOT,BRS MARGOT,Oliveira_2020,104,120,187,189,,,,,,,192,204,175,191,243,249,188,192,228,228,237,239,139,151,,,,,182,186,180,194,249,259
BRS CORA,,Oliveira_2020,108,120,189,189,298,304,344,376,278,284,188,200,167,169,241,249,186,195,238,240,241,249,123,127,191,203,200,228,182,186,186,202,239,259
BACO 1,BACO 1,Oliveira_2020,104,120,189,191,294,296,376,376,276,294,186,188,169,173,239,239,182,208,236,268,239,265,133,145,191,219,210,222,186,188,196,200,243,255
BLACK JULY #,,Oliveira_2020,104,104,193,205,296,304,,,256,260,188,200,175,181,241,249,180,188,230,240,237,249,133,165,193,209,198,210,186,186,182,204,237,253
CAMPOS DA PAZ,,Oliveira_2020,106,106,181,189,,,,,,,178,192,169,191,255,255,188,195,236,266,239,253,133,137,199,203,,,182,186,188,198,257,263
COUDERC 1,COUDERC 1,Oliveira_2020,104,116,191,199,296,302,374,374,262,268,192,192,191,191,249,249,186,208,238,268,249,251,125,133,191,219,200,200,186,186,202,204,247,259
COUDERC 3,,Oliveira_2020,116,116,189,189,296,302,374,374,262,272,174,204,173,191,249,249,186,202,238,266,239,251,125,133,191,209,192,200,186,190,186,202,,
CUNNINGHAM,CUNNINGHAM,Oliveira_2020,104,104,193,205,,,,,,,188,200,175,181,241,249,180,188,,,237,249,133,165,,,,,186,186,182,204,237,253
CYNTHIANA,CYNTHIANA,Oliveira_2020,98,98,189,189,300,300,332,366,258,268,186,194,169,185,241,251,186,188,236,250,237,247,133,135,193,199,194,200,182,182,180,204,,
EUMELAN,EUMELAN,Oliveira_2020,114,114,189,193,294,294,368,376,280,296,198,202,169,169,239,241,182,186,238,238,235,249,133,143,191,201,200,210,182,186,200,202,259,259
HERBEMONT,HERBEMONT,Oliveira_2020,,,181,191,300,312,366,366,258,272,,,173,177,237,247,188,190,230,246,237,247,133,149,181,209,198,198,186,186,180,204,257,259
IAC 138-22 MÁXIMO,,Oliveira_2020,96,114,189,189,296,296,354,376,272,278,188,204,169,173,241,249,180,202,224,234,239,251,133,139,195,199,200,200,182,186,194,194,249,251
IAC 960-9 SANCHES #,,Oliveira_2020,106,106,189,189,296,296,368,368,256,258,184,200,173,173,255,257,180,190,230,246,237,239,139,143,191,197,200,212,182,182,186,198,249,249
SEIBEL 2,,Oliveira_2020,104,104,187,191,296,310,366,366,262,262,184,188,173,191,243,249,180,202,234,254,237,239,133,147,193,199,200,228,182,186,180,194,,
SEIBEL 7053,SEIBEL 7053,Oliveira_2020,114,120,189,189,298,304,376,376,264,280,178,204,181,191,241,243,188,190,224,236,251,261,133,139,201,209,192,228,182,186,194,202,249,259
SEIBEL 10096,,Oliveira_2020,108,108,189,189,,,374,374,,,178,192,169,175,239,249,,,228,230,239,249,125,143,,,,,184,186,188,204,239,245
SEYVE VILLARD 18-315,SEYVE VILLARD 18-315,Oliveira_2020,120,120,187,189,296,304,376,376,280,280,186,204,181,191,243,255,188,190,228,236,237,261,139,143,191,201,192,210,186,186,180,202,249,261
SR 5012-34 (DONA EMÍLIA),,Oliveira_2020,104,120,181,189,304,304,374,376,262,278,188,204,169,181,243,249,188,190,224,234,239,261,139,151,205,209,200,228,184,186,194,202,,
CATAWBA ROSA #,,Oliveira_2020,96,112,189,191,298,298,346,376,274,284,184,192,169,181,241,241,186,188,240,240,235,247,125,155,195,207,202,228,182,182,,,,
LINDLEY,LINDLEY,Oliveira_2020,104,114,181,189,,,,,,,188,196,169,193,241,241,188,190,230,234,235,247,125,133,,,186,200,182,186,202,204,247,259
GOETH #,,Oliveira_2020,114,114,189,189,304,304,376,376,270,280,186,200,169,179,241,241,180,186,238,238,235,241,123,133,191,201,200,210,182,186,202,204,237,259
BACO 22 A,BACO 22 A,Oliveira_2020,96,104,189,193,,,,,,,178,188,169,181,239,239,182,188,228,228,235,239,125,133,,,,,186,186,196,206,,
BRS LORENA,BRS LORENA,Oliveira_2020,104,120,181,189,,,,,,,178,192,169,191,239,243,180,190,228,254,239,243,133,133,193,195,,,182,186,188,188,255,261
G1590C32458,,Oliveira_2020,114,120,189,193,294,304,374,376,264,272,204,204,175,191,243,249,182,190,224,236,251,257,139,143,201,201,210,228,186,186,194,194,243,259
IAC 21-14 MADALENA,,Oliveira_2020,114,114,181,189,304,316,354,376,262,284,192,204,173,173,241,255,180,182,230,236,239,243,139,143,195,199,204,210,182,186,188,188,,
IAC 74- 1 IARA,,Oliveira_2020,104,104,189,191,296,296,374,376,262,284,178,186,173,175,241,249,190,195,,,239,249,125,133,197,201,202,204,182,184,188,204,,
IAC 116-31 RAINHA,,Oliveira_2020,108,120,189,193,298,304,376,376,262,262,188,204,175,191,243,249,186,188,224,230,243,251,139,151,195,209,192,200,186,186,188,194,239,249
IAC 960-12,,Oliveira_2020,108,120,189,193,,,,,,,188,204,175,191,243,249,186,186,224,230,243,251,139,151,,,,,186,186,,,239,239
JD 930 MOSCATEL DE JUNDIAI,,Oliveira_2020,108,108,187,191,296,300,374,374,262,272,192,192,169,169,239,243,180,190,228,230,239,243,133,133,193,209,192,204,182,186,180,192,,
MOSCATO EMBRAPA,,Oliveira_2020,108,108,191,191,296,318,,,,,190,200,173,179,247,255,180,188,228,240,237,247,143,147,197,203,192,204,180,186,180,192,251,255
SEIBEL 5213,,Oliveira_2020,,,189,189,298,298,374,374,262,278,178,178,169,191,241,249,182,190,252,254,239,243,125,133,201,209,192,222,182,186,188,188,243,259
SEIBEL 5409,SEIBEL 5409,Oliveira_2020,96,120,189,191,296,296,374,376,272,280,178,188,169,189,243,249,186,195,228,246,247,255,133,147,201,205,192,210,182,186,182,194,,
SEIBEL 13680,,Oliveira_2020,110,110,181,189,296,296,374,374,268,278,192,204,169,191,241,255,182,186,234,246,243,251,133,135,191,205,192,192,186,186,188,194,,
SEYVE VILLARD 5276,SEYVE VILLARD 5276,Oliveira_2020,120,120,187,189,296,296,374,376,262,280,178,192,169,191,237,237,190,190,228,254,237,243,133,133,193,201,192,210,182,186,180,188,259,261
SR 496-25,,Oliveira_2020,114,120,189,193,304,304,376,376,256,264,188,204,169,181,241,249,188,190,234,236,257,261,133,151,209,209,200,228,182,186,194,202,245,249
VILLENAVE,,Oliveira_2020,96,120,181,189,294,298,376,376,,,192,192,175,191,237,255,182,190,234,236,249,249,133,151,191,195,192,200,188,188,186,204,243,261
ARAMON #,,Oliveira_2020,108,108,181,189,296,304,356,374,,,190,192,169,169,249,271,182,184,228,236,239,243,139,151,191,195,204,204,184,186,188,188,243,259
ASPIRANT BOUCHET #,,Oliveira_2020,108,108,181,189,296,304,356,374,262,272,190,192,169,169,249,271,182,184,228,236,239,243,139,151,191,195,204,204,184,186,188,188,243,259
BONARDA #,,Oliveira_2020,104,120,189,191,294,296,376,376,276,294,186,188,169,173,239,239,182,208,236,268,239,265,133,145,191,219,210,222,186,188,196,200,,
CABERNET FRANC #,,Oliveira_2020,104,104,181,189,296,296,376,376,256,276,192,204,169,175,239,249,190,192,228,238,239,247,139,151,199,205,204,204,182,184,194,194,259,259
SR 507-08,,Oliveira_2020,104,120,181,189,304,304,374,376,264,278,188,204,169,181,243,249,188,190,224,234,239,261,139,151,205,209,200,228,184,186,194,202,247,249
CARIGNANE,CARIGNANE,Oliveira_2020,104,104,181,191,296,296,354,354,256,276,192,200,169,177,241,255,182,186,228,230,239,239,143,145,191,193,200,200,186,186,186,188,251,259
DURIF,DURIF,Oliveira_2020,96,104,191,191,296,304,374,374,262,278,188,188,169,173,241,249,180,192,234,234,239,251,133,151,197,199,200,200,182,186,194,200,251,251
GARNACHA TINTA,GARNACHA TINTA,Oliveira_2020,114,114,181,191,296,304,364,374,272,284,186,204,169,169,241,255,195,195,228,242,239,243,137,145,191,199,192,196,182,184,188,188,257,257
GRAND NOIR,GRAND NOIR,Oliveira_2020,108,108,181,189,296,304,356,374,262,272,190,192,169,169,249,271,182,184,228,236,239,243,139,151,191,195,204,204,184,186,188,188,243,259
MERLOT NOIR #,,Oliveira_2020,104,104,181,189,,,,,,,192,192,175,175,239,255,182,190,228,242,239,263,139,147,,,200,200,184,186,194,204,247,259
PINOT NOIR,PINOT NOIR,Oliveira_2020,108,120,191,193,304,304,376,376,256,262,188,204,173,175,239,249,186,190,230,240,239,243,137,151,195,199,200,210,186,186,188,194,239,245
RUBY CABERNET,RUBY CABERNET,Oliveira_2020,104,104,181,191,,,,,276,278,192,200,175,177,249,255,176,182,228,234,239,239,143,151,193,205,,,186,186,188,194,247,259
SYRAH,SYRAH,Oliveira_2020,104,104,191,193,,,,,,,186,188,173,173,241,241,190,192,228,234,239,239,133,133,197,205,,,182,186,188,194,245,251
TANNAT,,Oliveira_2020,104,112,181,181,304,304,364,376,256,284,192,198,173,175,255,255,186,190,240,242,249,249,143,155,193,197,204,204,186,186,194,200,239,251
GEWURZTRAMINER,,Oliveira_2020,104,120,181,193,294,304,376,376,256,272,188,204,169,175,249,249,190,190,234,240,243,257,151,151,195,221,,,186,186,188,194,245,251
SÉMILLON,,Oliveira_2020,96,104,191,193,294,300,376,376,272,278,192,204,169,169,241,249,176,186,238,240,239,257,133,133,207,209,210,210,182,184,188,194,247,251
RIESLING WEISS,RIESLING WEISS,Oliveira_2020,104,104,181,191,294,294,376,376,256,256,178,192,173,175,255,269,186,190,228,240,247,257,135,151,189,189,210,210,186,186,194,196,251,251
CHENIN BLANC,CHENIN BLANC,Oliveira_2020,104,104,181,181,296,304,356,374,270,272,,,169,175,241,249,176,190,230,234,239,257,133,151,195,199,192,210,186,186,188,194,247,251
CHARDONNAY BLANC,CHARDONNAY BLANC,Oliveira_2020,110,120,191,191,296,304,376,376,,,192,204,173,175,239,255,182,190,236,240,239,243,137,143,195,199,200,210,186,186,188,196,243,245
BAILEY #,,Oliveira_2020,108,114,193,193,298,304,374,376,254,284,184,188,167,169,237,249,186,195,230,240,249,249,127,135,199,203,210,228,182,186,186,186,239,243
BRS CARMEM,,Oliveira_2020,114,120,189,193,,,374,376,,,,,169,175,241,249,186,186,240,240,241,249,123,127,,,,,182,186,186,202,239,247
BRS VIOLETA,,Oliveira_2020,96,120,189,193,304,304,344,372,278,284,200,204,169,175,241,249,182,186,238,238,235,241,123,149,195,201,200,210,182,186,202,202,,
SEIBEL 5455,SEIBEL 5455,Oliveira_2020,108,108,187,189,,,374,374,,,192,204,169,169,241,249,186,195,228,246,239,243,125,133,,,,,186,186,188,188,245,259
SEIBEL 10146,,Oliveira_2020,106,106,181,187,298,298,374,376,262,278,178,192,169,191,249,249,195,195,228,230,239,251,125,143,201,223,204,204,186,186,188,194,,
SR 496-09,,Oliveira_2020,120,120,181,189,294,304,374,376,272,280,204,204,169,181,243,249,188,190,236,240,243,261,139,151,195,201,192,210,182,186,188,202,,
