child_variety,parent_variety,parent_role,evidence_type,marker_type,n_markers,lod_score,study_reference,doi,confirmed_year,confidence_level,notes
KADARKA FEHER,BRAGHINA ROSIE,,SNP (Vitis18K) + SSR,SNP+SSR,216,70.25,Tello et al. 2024,10.3389/fpls.2024.1391679,2024,confirmed,"SNPs: 216, mismatches: 0; SSRs: 9, mismatches: 0; Cross: BAKATOR BELYI × KADARKA; Previously: This work"
KADARKA FEHER,IORDAN,,SNP (Vitis18K) + SSR,SNP+SSR,216,70.25,Tello et al. 2024,10.3389/fpls.2024.1391679,2024,confirmed,"SNPs: 216, mismatches: 0; SSRs: 9, mismatches: 0; Cross: BAKATOR BELYI × KADARKA; Previously: This work"
KOEVIDINKA,BRAGHINA ROSIE,,SNP (Vitis18K) + SSR,SNP+SSR,230,71.16,Tello et al. 2024,10.3389/fpls.2024.1391679,2024,confirmed,"SNPs: 230, mismatches: 2; SSRs: 9, mismatches: 0; Cross: -; Previously: This work"
KOEVIDINKA,OHRIDSKO BELO,,SNP (Vitis18K) + SSR,SNP+SSR,230,71.16,Tello et al. 2024,10.3389/fpls.2024.1391679,2024,confirmed,"SNPs: 230, mismatches: 2; SSRs: 9, mismatches: 0; Cross: -; Previously: This work"
KRIVAJA,PARMAK CERVEN,,SNP (Vitis18K) + SSR,SNP+SSR,224,92.5,Tello et al. 2024,10.3389/fpls.2024.1391679,2024,confirmed,"SNPs: 224, mismatches: 0; SSRs: 9, mismatches: 0; Cross: -; Previously: This work"
KRIVAJA,DARDAGAN,,SNP (Vitis18K) + SSR,SNP+SSR,224,92.5,Tello et al. 2024,10.3389/fpls.2024.1391679,2024,confirmed,"SNPs: 224, mismatches: 0; SSRs: 9, mismatches: 0; Cross: -; Previously: This work"
MANASTIRSKO BELO,PARMAK CERVEN,,SNP (Vitis18K) + SSR,SNP+SSR,223,84.76,Tello et al. 2024,10.3389/fpls.2024.1391679,2024,confirmed,"SNPs: 223, mismatches: 0; SSRs: 9, mismatches: 1; Cross: -; Previously: This work"
MANASTIRSKO BELO,HEPTAKILO,,SNP (Vitis18K) + SSR,SNP+SSR,223,84.76,Tello et al. 2024,10.3389/fpls.2024.1391679,2024,confirmed,"SNPs: 223, mismatches: 0; SSRs: 9, mismatches: 1; Cross: -; Previously: This work"
PECSI ALDAS,BICANE,,SNP (Vitis18K) + SSR,SNP+SSR,221,96.05,Tello et al. 2024,10.3389/fpls.2024.1391679,2024,confirmed,"SNPs: 221, mismatches: 0; SSRs: 9, mismatches: 0; Bred cultivar; Cross: BICANE × GOLDEN QUEEN; Previously: This work"
PECSI ALDAS,CHASSELAS BLANC,,SNP (Vitis18K) + SSR,SNP+SSR,221,96.05,Tello et al. 2024,10.3389/fpls.2024.1391679,2024,confirmed,"SNPs: 221, mismatches: 0; SSRs: 9, mismatches: 0; Bred cultivar; Cross: BICANE × GOLDEN QUEEN; Previously: This work"
PROBUS,KADARKA KEK,,SNP (Vitis18K) + SSR,SNP+SSR,221,89.24,Tello et al. 2024,10.3389/fpls.2024.1391679,2024,confirmed,"SNPs: 221, mismatches: 0; SSRs: 8, mismatches: 1; Bred cultivar; Cross: KADARKA KEK × CABERNET SAUVIGNON; Previously: This work"
PROBUS,CABERNET SAUVIGNON,,SNP (Vitis18K) + SSR,SNP+SSR,221,89.24,Tello et al. 2024,10.3389/fpls.2024.1391679,2024,confirmed,"SNPs: 221, mismatches: 0; SSRs: 8, mismatches: 1; Bred cultivar; Cross: KADARKA KEK × CABERNET SAUVIGNON; Previously: This work"
RADMILOVACKI MUSKAT,KOENIGIN DER WEINGAERTEN,,SNP (Vitis18K) + SSR,SNP+SSR,223,86.83,Tello et al. 2024,10.3389/fpls.2024.1391679,2024,confirmed,"SNPs: 223, mismatches: 2; SSRs: 9, mismatches: 1; Bred cultivar; Cross: KOENIGIN DER WEINGAERTEN × MUSCAT HAMBURG; Previously: This work"
RADMILOVACKI MUSKAT,MUSCAT HAMBURG,,SNP (Vitis18K) + SSR,SNP+SSR,223,86.83,Tello et al. 2024,10.3389/fpls.2024.1391679,2024,confirmed,"SNPs: 223, mismatches: 2; SSRs: 9, mismatches: 1; Bred cultivar; Cross: KOENIGIN DER WEINGAERTEN × MUSCAT HAMBURG; Previously: This work"
SLJIVA HERZEGOVACKA,COARNA ALBA,,SNP (Vitis18K) + SSR,SNP+SSR,224,75.9,Tello et al. 2024,10.3389/fpls.2024.1391679,2024,confirmed,"SNPs: 224, mismatches: 2; SSRs: 9, mismatches: 1; Cross: -; Previously: This work"
SLJIVA HERZEGOVACKA,HEPTAKILO,,SNP (Vitis18K) + SSR,SNP+SSR,224,75.9,Tello et al. 2024,10.3389/fpls.2024.1391679,2024,confirmed,"SNPs: 224, mismatches: 2; SSRs: 9, mismatches: 1; Cross: -; Previously: This work"
STANUSINA CRNA,COARNA ALBA,,SNP (Vitis18K) + SSR,SNP+SSR,223,62.28,Tello et al. 2024,10.3389/fpls.2024.1391679,2024,confirmed,"SNPs: 223, mismatches: 0; SSRs: 9, mismatches: 1; Cross: -; Previously: This work"
STANUSINA CRNA,KADARKA SRB,,SNP (Vitis18K) + SSR,SNP+SSR,223,62.28,Tello et al. 2024,10.3389/fpls.2024.1391679,2024,confirmed,"SNPs: 223, mismatches: 0; SSRs: 9, mismatches: 1; Cross: -; Previously: This work"
UNKNOWN SRB #03,ALICANTE HENRI BOUSCHET,,SNP (Vitis18K) + SSR,SNP+SSR,210,81.0,Tello et al. 2024,10.3389/fpls.2024.1391679,2024,confirmed,"SNPs: 210, mismatches: 1; SSRs: 7, mismatches: 1; Cross: -; Previously: This work"
UNKNOWN SRB #03,GAMAY NOIR,,SNP (Vitis18K) + SSR,SNP+SSR,210,81.0,Tello et al. 2024,10.3389/fpls.2024.1391679,2024,confirmed,"SNPs: 210, mismatches: 1; SSRs: 7, mismatches: 1; Cross: -; Previously: This work"
