vivc_prime_name,n_sources,passport_candidate,in_marker_support,in_vivc_confirmed,in_constantini_2026,in_myles_2011,in_lacombe_2013,in_oliveira_2020,in_lac_emanuelli_2020,in_laucou_2018,in_liang_2019,in_grin_pedigree,in_grin_alignment,in_ssr_vivc,in_ssr_migliaro,in_ssr_lacombe,in_ssr_oliveira,in_node_profile,name_in_lacombe_2013,name_in_laucou_2018,name_in_lac_emanuelli_2020,name_in_grin_pedigree,name_in_grin_alignment,grin_accession_id
HARSLEVELU,6,HARSLEVELUE,False,True,False,False,True,False,True,True,True,False,False,False,False,True,False,False,,,,,,
TEMPRANILLO,6,TEMPRANILLO GRIS,True,True,False,False,False,True,True,True,False,False,False,False,False,False,True,False,,,,,,
ALFROCHEIRO PRETO,5,ALFROCHEIRO,False,True,False,False,True,False,True,True,False,False,False,False,False,True,False,False,,,,,,
CHASSELAS,5,CHASSELAS BABO,False,True,False,False,True,False,True,True,False,False,False,False,False,True,False,False,,,,,,
DIAGALVES,5,DIAGALVES FAUX,False,True,False,False,True,True,False,True,False,False,False,False,False,True,False,False,,,,,,
DIMIAT,5,,False,True,False,False,True,False,True,True,False,False,False,False,False,True,False,False,,,,,,
ELBLING,5,ELBLING ROT,False,True,False,False,True,False,True,True,False,False,False,False,False,True,False,False,,,,,,
HUMAGNE BLANC,5,HUMAGNE BLANCHE,False,True,False,False,True,False,True,True,False,False,False,False,False,True,False,False,,,,,,
KICHMICH TCHERNI,5,KARA KICHMICH OVROUT,False,True,False,False,True,False,True,True,False,False,False,False,False,True,False,False,,,,,,
MUSCAT D'ALEXANDRIE,5,MUSCAT ERLOG ALTARIA,False,True,False,False,True,True,False,True,False,False,False,False,False,True,False,False,,,,,,
POUGAYEN,5,,False,True,False,False,True,False,True,True,False,False,False,False,False,True,False,False,,,,,,
SULTANINE,5,SULTANINE MONOCOCCO,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,,,,,,
AETONYCHI MAVRO,4,KORYFISSIO MAVRO,False,False,False,False,True,False,True,True,False,False,False,False,False,True,False,False,,,,,,
ARINTO DO DÃO,4,ARINTO DO INTERIOR,False,False,False,False,True,False,True,True,False,False,False,False,False,True,False,False,,,,,,
ASSOUAD KARECH,4,ASMI ASSOUAD,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,,,,,,
CARINA (AUSTRALIE),4,CARINA,False,False,False,False,True,False,True,True,False,False,False,False,False,True,False,False,,,,,,
CASTELÃO = PERIQUITA,4,,False,False,False,False,True,False,True,True,False,False,False,False,False,True,False,False,,,,,,
CHAOUCH ROSE,4,CHAOUCH ROZOVYI,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,,,,,,
CORASON DE KABRITTE BLANC,4,CORASON DE KABRITTE,False,False,False,False,True,False,True,True,False,False,False,False,False,True,False,False,,,,,,
DORONA DI VENEZIA,4,DORONA VENEZIANA,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,,,,,,
GROS MANSENG,4,MANSENG GROS MEUNIER,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,,,,,,
KOZ OUZIOUM,4,,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,,,,,,
LIGNAN,4,,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,,,,,,
LOUREIRO,4,LOUREIRO BRAVO,False,False,False,False,True,False,True,True,False,False,False,False,False,True,False,False,,,,,,
MAUZAC,4,MAUZAC ROSE,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,,,,,,
MOLINERA GORDA,4,MOLINERA,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,,,,,,
MOURISCO TINTO = MARUFO,4,MOURISCO DE SEMENTE (NON IDENTIFIED),False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,,,,,,
MUSCAT D'EISENSTADT,4,MUSCAT ERLOG ALTARIA,False,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,,,,,,
NEGRU MARE,4,NEGRU MARE DE GHIRODA,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,,,,,,
OPSIMO EDESSIS,4,OPSIMO TRAGANO,False,False,False,False,True,False,True,True,False,False,False,False,False,True,False,False,,,,,,
PORTUGAIS BLEU,4,OISEAU BLEU,False,False,False,False,True,False,True,True,False,False,False,False,False,True,False,False,,,,,,
POZSONYI FEHER,4,POZSONYI,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,,,,,,
ROSA MENNA DI VACCA,4,MENNA DI VACCA BIANCA,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,,,,,,
TRESSOT,4,TRESSOT NOIR,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,,,,,,
VERDECA = LAGORTHI,4,LAGORTHI,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,,,,,,
ABOUHOU = ASSERGHIN,3,ABOUHOU,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
AESTIVALIS,3,AESTIVALIS GF 23,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,,,,,,
ALPHONSE LAVALLÉE,3,ALPHONSE LAVALLEE,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,,,,,,
ANGELO LONGO = PIROVANO 101,3,ANGELO PIROVANO,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
ARAGATZI,3,,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,,,,,,
ASKÉRI,3,,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,,,,,,
ASSWAD ABOU KHISLÉ,3,ASSWAD ABOU GHABRA,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,,,,,,
ATTIKI,3,,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,,,,,,
AÏN EL BOUMA,3,AIN EL BOUMA,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,,,,,,
BALINT,3,BALINT WEISS,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
BALOUTI,3,BALOUTI X MUSCAT HAMBURG,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
BARLINKA FAUX (ALMERIA),3,BARLINKA FAUX,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,,,,,,
BASILIKUMTRAUBE,3,,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,,,,,,
BASTARDO MAGARATCHSKII,3,BASTARDO DE MUNEDO,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,,,,,,
BEREGI ROZSAS,3,BEREGI ROZSA,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
BLANC DE RHAFSAÏ,3,TEOULIER BLANC FEMELLE,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,,,,,,
BLANK BLAUER = VULPEA,3,BLANK WEISS,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
BOUQUETTRAUBE,3,,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
BOUTEILLAN NOIR = QUAGLIANO,3,ARBANE NOIR,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,,,,,,
CABERNET‐SAUVIGNON,3,,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,,,,,,
CAMARATE,3,CAMARATE TINTO,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,,,,,,
CARMENÈRE,3,,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,,,,,,
CLAIRETTE,3,CLAIRETTE ROSE,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
CORNET = BAUDE,3,CORNET NOIR,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
COURBU,3,COURBU NOIR,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
CÉSAR,3,,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,,,,,,
FURJMONY FEHER,3,LISZTES FEHER,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
GIBI = HEBÉN,3,,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,,,,,,
GOHER,3,GOHER PIROS,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,,,,,,
GORDIN = ALIMCHAK,3,GORDIN VERDE,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
GOUAIS BLANC = HEUNISCH WEISS,3,HEUNISCH WEISS SEEDLESS,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,,,,,,
GRAND NOIR DE LA CALMETTE,3,GRAND NOIR,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,,,,,,
GRENACHE = GARNACHA,3,GRENACHE NOIR A FLEURS FEMELLES,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
GROS VERT,3,GROS VERT NOIR,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,
