child_variety,parent_variety,parent_role,evidence_type,marker_type,n_markers,lod_score,study_reference,doi,confirmed_year,confidence_level,notes,all_dois,vivc_derived_from,vivc_primary_doi,vivc_unloaded_dois
ABBOTTABOTTI,PANSE BLANCHE,Parent 1,SSR,SSR,,,VIVC passport (via Cipriani 2010),10.1007/s00122-010-1411-9,,confirmed,PANSE BLANCHE X MARUGA,10.1007/s00122-010-1411-9,Cipriani 2010,10.1007/s00122-010-1411-9,
ABBOTTABOTTI,MARUGA,Parent 2,SSR,SSR,,,VIVC passport (via Cipriani 2010),10.1007/s00122-010-1411-9,,confirmed,PANSE BLANCHE X MARUGA,10.1007/s00122-010-1411-9,Cipriani 2010,10.1007/s00122-010-1411-9,
ABONDANT,KOEVIDINKA,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,KOEVIDINKA X MADELEINE ROYALE,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
ABONDANT,MADELEINE ROYALE,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,KOEVIDINKA X MADELEINE ROYALE,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
ACETO,GRILLONE,Parent 1,SSR,SSR,,,VIVC passport (via Cipriani 2010),10.1007/s00122-010-1411-9,,confirmed,GRILLONE X SCACCO,10.1007/s00122-010-1411-9,Cipriani 2010,10.1007/s00122-010-1411-9,
ACETO,SCACCO,Parent 2,SSR,SSR,,,VIVC passport (via Cipriani 2010),10.1007/s00122-010-1411-9,,confirmed,GRILLONE X SCACCO,10.1007/s00122-010-1411-9,Cipriani 2010,10.1007/s00122-010-1411-9,
ADMIRABLE DE COURTILLER,BICANE,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,BICANE X CHASSELAS,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
ADMIRABLE DE COURTILLER,CHASSELAS,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,BICANE X CHASSELAS,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
AITONYCHI MAVRO,KONTEGALO,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018),10.1007/s00122-012-1988-2,,confirmed,KONTEGALO X HEPTAKILO,10.1007/s00122-012-1988-2; 10.1371/journal.pone.0192540; 10.3389/fpls.2020.605934,Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018,10.1007/s00122-012-1988-2,
AITONYCHI MAVRO,HEPTAKILO,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018),10.1007/s00122-012-1988-2,,confirmed,KONTEGALO X HEPTAKILO,10.1007/s00122-012-1988-2; 10.1371/journal.pone.0192540; 10.3389/fpls.2020.605934,Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018,10.1007/s00122-012-1988-2,
AFFENTHALER,SUESSSCHWARZ,Parent 1,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),,,confirmed,SUESSSCHWARZ X HEUNISCH WEISS,,none,,
AFFENTHALER,GOUAIS BLANC,Parent 2,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),,,confirmed,SUESSSCHWARZ X HEUNISCH WEISS,,none,,
AGAPANTHE,SCHIRAS DR. HOUDBINE,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,SCHIRAS DR. HOUDBINE X  CHASSELAS,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
AGAPANTHE,CHASSELAS,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,SCHIRAS DR. HOUDBINE X  CHASSELAS,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
AGOSTENGA ROSSA,BELLINO,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,BELLINO X MALINGRE PRECOCE,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
AGOSTENGA ROSSA,MALINGRE PRECOCE,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,BELLINO X MALINGRE PRECOCE,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
AGUA SANTA,CAMARATE,Parent 1,SSR,SSR,,,VIVC passport (via Cunha 2020; Lacombe & Emanuelli 2020; Laucou 2018),10.3389/fpls.2020.605934,,confirmed,CAMARATE X PERIQUITA,10.1371/journal.pone.0192540; 10.3389/fpls.2020.00127; 10.3389/fpls.2020.605934; 10.5344/ajev.2011.11052,Cunha 2020; Lacombe & Emanuelli 2020; Laucou 2018,10.1371/journal.pone.0192540,10.5344/ajev.2011.11052
AGUA SANTA,CASTELAO,Parent 2,SSR,SSR,,,VIVC passport (via Cunha 2020; Lacombe & Emanuelli 2020; Laucou 2018),10.3389/fpls.2020.605934,,confirmed,CAMARATE X PERIQUITA,10.1371/journal.pone.0192540; 10.3389/fpls.2020.00127; 10.3389/fpls.2020.605934; 10.5344/ajev.2011.11052,Cunha 2020; Lacombe & Emanuelli 2020; Laucou 2018,10.1371/journal.pone.0192540,10.5344/ajev.2011.11052
AIDA,FRANKENTHAL,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,FRANKENTHAL X DELIZIA DI VAPRIO,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
AIDA,DELIZIA DI VAPRIO,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,FRANKENTHAL X DELIZIA DI VAPRIO,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
