child_variety,vivc_no,source_code,author,year,title,doi,n_loci
A DONA,15290,40894,"LUCIANO DE OLIVEIRA, G.; PEREIRA DE SOUZA, A.; ANCELMO DE OLIVEIRA, F.; IMACULADA ZUCCHI, M.; MOURA DE SOUZA, L.; FERNANDES MOURA, M.",2020,Genetic structure and molecular diversity of Brazilian grapevine germplasm: Management and use in breeding programs,10.1371/journal.pone.0240665,12
ABBOTTABOTTI,4,40183,"CIPRIANI, G.; SPADOTTO, A.; JURMAN, I.; GASPERO, G. DI; CRESPAN, M.; MENEGHETTI, S.; FRARE, E.; VIGNANI, R.; CRESTI, M.; MORGANTE, M.; PEZZOTTI, M.; PE, E.; POLICRITI, A.; TESTOLIN, R.",2010,The SSR-based molecular profile of 1005 grapevine (,10.1007/s00122-010-1411-9,34
ABONDANT,24,577,ANONYMOUS,2007,Catalogue des variétés et clones de vigne cultivés en France 2ème édition,,
ABONDANT,24,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
ACCENT,20540,40482,"RÖCKEL, F.; MAUL, E.; TÖPFER, R.",2014,BÖLN-Projekt: Weiterentwicklung von Wissenstransfer- und Informationssystemen zur nachhaltigen Nutzung rebengenetischer Ressourcen,,25
ACETO,45,40183,"CIPRIANI, G.; SPADOTTO, A.; JURMAN, I.; GASPERO, G. DI; CRESPAN, M.; MENEGHETTI, S.; FRARE, E.; VIGNANI, R.; CRESTI, M.; MORGANTE, M.; PEZZOTTI, M.; PE, E.; POLICRITI, A.; TESTOLIN, R.",2010,The SSR-based molecular profile of 1005 grapevine (,10.1007/s00122-010-1411-9,34
ACHALA NOIR,27465,40942,"TORRES, R.; ALIQUÓ, G.; TORO, A.; FERNANDEZ, F.; TORNELLO, S.; PALAZZO, E.; SARI, S.; FANZONE, M.; DE BIAZI, F.; OVIEDO, H.J.; SEGURA, R.; LAUCOU, V.; LACOMBE, T.; PRIETO, J.A.",2022,Identification and recovery of local,10.1111/ajgw.12561,20
ACOLON,17123,684,"MAUL, E.; SCHUMANN, F.; HILL, B.H.E.; DOERNER, F.; BENNEK, H.; LAUCOU, V.; BOURSIQUOT, J.M.; LACOMBE, T.; ZYPRIAN, E.; EIBACH, R.; TOEPFER, R.",2013,Die Kreuzungseltern deutscher Rebenneuzüchtungen im Fokus - Was sagt der genetische Fingerabdruck?,,20
ADMIRABLE DE COURTILLER,68,577,ANONYMOUS,2007,Catalogue des variétés et clones de vigne cultivés en France 2ème édition,,
ADMIRABLE DE COURTILLER,68,40151,"IBANEZ, J.; VARGAS, A. M.; PALANCAR, M.; BORREGO, J.; ANDRES, M. T. DE",2009,Genetic relationships among table-grape varieties,,25
