child_variety,parent_variety,vivc_derived_from,vivc_primary_doi,vivc_unloaded_dois,study_reference
ABBOTTABOTTI,PANSE BLANCHE,Cipriani 2010,10.1007/s00122-010-1411-9,,VIVC passport (via Cipriani 2010)
ABBOTTABOTTI,MARUGA,Cipriani 2010,10.1007/s00122-010-1411-9,,VIVC passport (via Cipriani 2010)
ABONDANT,KOEVIDINKA,Lacombe 2013,10.1007/s00122-012-1988-2,,VIVC passport (via Lacombe 2013)
ABONDANT,MADELEINE ROYALE,Lacombe 2013,10.1007/s00122-012-1988-2,,VIVC passport (via Lacombe 2013)
ACETO,GRILLONE,Cipriani 2010,10.1007/s00122-010-1411-9,,VIVC passport (via Cipriani 2010)
ACETO,SCACCO,Cipriani 2010,10.1007/s00122-010-1411-9,,VIVC passport (via Cipriani 2010)
ADMIRABLE DE COURTILLER,BICANE,Lacombe 2013,10.1007/s00122-012-1988-2,,VIVC passport (via Lacombe 2013)
ADMIRABLE DE COURTILLER,CHASSELAS,Lacombe 2013,10.1007/s00122-012-1988-2,,VIVC passport (via Lacombe 2013)
AITONYCHI MAVRO,KONTEGALO,Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018,10.1007/s00122-012-1988-2,,VIVC passport (via Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018)
AITONYCHI MAVRO,HEPTAKILO,Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018,10.1007/s00122-012-1988-2,,VIVC passport (via Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018)
AFFENTHALER,SUESSSCHWARZ,none,,,VIVC passport (pedigree confirmed by markers)
AFFENTHALER,GOUAIS BLANC,none,,,VIVC passport (pedigree confirmed by markers)
AGAPANTHE,SCHIRAS DR. HOUDBINE,Lacombe 2013,10.1007/s00122-012-1988-2,,VIVC passport (via Lacombe 2013)
AGAPANTHE,CHASSELAS,Lacombe 2013,10.1007/s00122-012-1988-2,,VIVC passport (via Lacombe 2013)
AGOSTENGA ROSSA,BELLINO,Lacombe 2013,10.1007/s00122-012-1988-2,,VIVC passport (via Lacombe 2013)
