vivc_no,prime_name,pedigree_confirmed_markers,ssr_marker_data,full_pedigree,synonyms,fetched_at
1,A LA REINE,NA,NA,NO,REINE; REINE; TABLE GRAPE; TABLE GRAPE,2026-03-21T20:19:56Z
2,ABALI KOCA,NA,NA,NO,SERGEN; SERGEN; TABLE GRAPE; TABLE GRAPE,2026-03-21T20:19:57Z
3,ABBADIA BIANCA,NA,NA,NO,ALLABADIA; ALLABADIA,2026-03-21T20:19:58Z
4,ABBOTTABOTTI,PANSE BLANCHE X MARUGA,NA,YES,WINE GRAPE; WINE GRAPE,2026-03-21T20:19:59Z
5,ABBRUZZESE BIANCA,NA,NA,NO,WINE GRAPE; WINE GRAPE,2026-03-21T20:20:00Z
6,ABBRUZZESE CAMPOMAGGIORE,NA,NA,NO,WINE GRAPE; WINE GRAPE,2026-03-21T20:20:01Z
7,ABBUOTO,NA,YES,YES,ABOTOCECUBO; ABOTO; CECUBO; ABOTO; CECUBO; WINE GRAPE  TABLE GRAPE; WINE GRAPE; TABLE GRAPE; WINE GRAPE; TABLE GRAPE,2026-03-21T20:20:02Z
8,ABBY CLINGOTTEN,NA,NA,NO,NA,2026-03-21T20:20:04Z
9,ABEIDI,NA,NA,NO,NA,2026-03-21T20:20:04Z
10,ABEILLANE,NA,NA,NO,ABEILHANABEILIANO ECCLESIA ST-PETRI; ABEILHAN; ABEILIANO ECCLESIA ST-PETRI; ABEILHAN; ABEILIANO ECCLESIA ST-PETRI,2026-03-21T20:20:05Z
11,ABEJERA,NA,NA,NO,IMPATIENS; IMPATIENS; WINE GRAPE; WINE GRAPE,2026-03-21T20:20:06Z
12,ABELHAL,NA,NA,NO,AGUDANHO; AGUDANHO; WINE GRAPE; WINE GRAPE,2026-03-21T20:20:07Z
13,ABERKANE,NA,YES,NO,TABARKANTE KABYLETABERKANTE; TABARKANTE KABYLE; TABERKANTE; TABARKANTE KABYLE; TABERKANTE; WINE GRAPE; WINE GRAPE,2026-03-21T20:20:08Z
14,ABESO,NA,NA,NO,NA,2026-03-21T20:20:09Z
15,ABGUS,NA,NA,NO,NA,2026-03-21T20:20:10Z
17,ABJOUCH,NA,YES,NO,AB JOSH SAFIDAB JUSHTABAJICHE BLANCABDJOUCHABJOSHABJOSH SAFIDABJOUCH BLANCHABJOCH SAFIDOB DJOICH SEFID; AB JOSH SAFID; AB JUSHT; ABAJICHE BLANC; ABDJOUCH; ABJOSH; ABJOSH SAFID; ABJOUCH BLANC; HABJOCH SAFID; OB DJOICH SEFID; AB JOSH SAFID; AB JUSHT; ABAJICHE BLANC; ABDJOUCH; ABJOSH; ABJOSH SAFID; ABJOUCH BLANC; HABJOCH SAFID; WINE GRAPE  TABLE GRAPE; WINE GRAPE; TABLE GRAPE; WINE GRAPE; TABLE GRAPE,2026-03-21T20:20:11Z
18,ABKHASURA SHARI,NA,NA,NO,ABKHAZOURA CHAVIABKHAZURA SHAVI; ABKHAZOURA CHAVI; ABKHAZURA SHAVI; ABKHAZOURA CHAVI; ABKHAZURA SHAVI; WINE GRAPE; WINE GRAPE,2026-03-21T20:20:12Z
19,ABKHASURA TETRI,NA,NA,NO,ABKHAZOURA TETRIABKHAZURA TETRI; ABKHAZOURA TETRI; ABKHAZURA TETRI; ABKHAZOURA TETRI; ABKHAZURA TETRI; WINE GRAPE; WINE GRAPE,2026-03-21T20:20:13Z
20,ABLA AGANYN IZYUM,NA,YES,NO,ABLA AGANIN ISIUMABLA AGANIN IZIUMABLA AGANYN ISIOUMABLA AGANYN ISUMABLA AGANYN ISYUMABLA AGANYN IZIUMAGANINALBA AGANIN ISIUMDJINIM IZIUMDZANIM IZYMDZANYM IZYUMDZHANYM IZYUMJANYN IZIUMNUIJ IZYMNUIU IZIUMNUIU IZYUMNUYU ISIOUMNUYU ISYUMNUYU IZYUM; ABLA AGANIN ISIUM; ABLA AGANIN IZIUM; ABLA AGANYN ISIOUM; ABLA AGANYN ISUM; ABLA AGANYN ISYUM; ABLA AGANYN IZIUM; AGANIN; ALBA AGANIN ISIUM; DJINIM IZIUM; DZANIM IZYM; DZANYM IZYUM; DZHANYM IZYUM; JANYN IZIUM; NUIJ IZYM; NUIU IZIUM; NUIU IZYUM; NUYU ISIOUM; NUYU ISYUM; NUYU IZYUM; ABLA AGANIN ISIUM; ABLA AGANIN IZIUM; ABLA AGANYN ISIOUM; ABLA AGANYN ISUM; ABLA AGANYN ISYUM; ABLA AGANYN IZIUM; AGANIN; ALBA AGANIN ISIUM; DJINIM IZIUM; DZANIM IZYM; DZANYM IZYUM; DZHANYM IZYUM; JANYN IZIUM; NUIJ IZYM; NUIU IZIUM; NUIU IZYUM; NUYU ISIOUM; NUYU ISYUM; NUYU IZYUM; WINE GRAPE  TABLE GRAPE; WINE GRAPE; TABLE GRAPE; WINE GRAPE; TABLE GRAPE,2026-03-21T20:20:14Z
21,ABLAK BEYAZ,NA,NA,NO,TABLE GRAPE; TABLE GRAPE,2026-03-21T20:20:15Z
22,ABLAK SIYAH,NA,NA,NO,ABLAKSIYAH ABLAK; ABLAK; SIYAH ABLAK; ABLAK; SIYAH ABLAK; TABLE GRAPE; TABLE GRAPE,2026-03-21T20:20:17Z
