show_rows_5102550100250500_1,show_rows_5102550100250500_2,show_rows_5102550100250500_3,show_rows_5102550100250500_4,show_rows_5102550100250500_5,show_rows_5102550100250500_6,show_rows_5102550100250500_7,show_rows_5102550100250500_8,show_rows_5102550100250500_9,show_rows_5102550100250500_10,show_rows_5102550100250500_11,show_rows_5102550100250500_12,page_scraped,source_url
Prime name,Color of berry skin,Variety number VIVC,Utilization,Country or region of origin of the variety,Species,Prime name of parent 1,Prime name of parent 2,Confirmed pedigree by markers,Breeder,Year of crossing,Accessions,1,https://www.vivc.de/index.php?PassportSearch%5Babstg_marker%5D=&PassportSearch%5Bchlorotyps%5D=&PassportSearch%5Bcolor%5D=&PassportSearch%5Bcountry%5D=&PassportSearch%5Bgattung_id2%5D=&PassportSearch%5Bgenotypedssr%5D=&PassportSearch%5Bgeschlechts%5D=&PassportSearch%5Bholdings%5D=&PassportSearch%5Bkenn_nr%5D=&PassportSearch%5Bkreuzungsjahrs%5D=&PassportSearch%5Bleitname%5D=&PassportSearch%5Bmutant%5D=&PassportSearch%5Btext%5D=&PassportSearch%5Butilization2%5D=&PassportSearch%5Bzuechternames%5D=&page=1&r=passport%2Fresult&sort=kenn_nr
,BLANCNOIRROUGEROSEGRISNOT SPECIFIED,,WINE GRAPETABLE GRAPERAISIN GRAPEROOTSTOCKNOT SPECIFIED,"NOT SPECIFIEDAFGHANISTANALBANIAALGERIAARGENTINAARMENIAARMENIA/AZERBAIJANARMENIA/GEORGIAASIAASIA MINORAUSTRALIAAUSTRIAAZERBAIJANBALKANBELGIUMBOSNIA AND HERZEGOWINABRAZILBULGARIACANADACAUCASUSCENTRAL ASIACHILECHINACOSTA RICACROATIACYPRUSCZECH REPUBLICDAGHESTANDALMATIENDENMARKEGYPTESTONIAEUROPEFRANCEFRANCE/GERMANYGEORGIAGERMANYGREECEHUNGARYINDIAINDONESIAIRANIRAQISRAELITALYJAPANJORDANKAZAKHSTANKOREAKYRGYZSTANLATVIALEBANONLITHUANIAMALTAMEXICOMOLDOVAMONTENEGROMOROCCONETHERLANDSNEW ZEALANDNORWAYPAKISTANPALESTINIAN TERRITORY, OCCUPIEDPERUPOLANDPORTUGALPORTUGAL/GERMANYPUERTO RICOREPUBLIC OF NORTHMACEDONIAROMANIARUSSIAN FEDERATIONSERBIASLOVAKIASLOVENIASLOVENIA/CROATIASOUTH AFRICASPAINSUN (FORMERLY USSR, UNION OF SOVIET SOCIALIST REPUBLICS)SWITZERLANDSYRIAN ARAB REPUBLICTAIWAN, REPUBLIC OF CHINATAJIKISTANTUNISIATURKEYTURKMENISTANUKRAINEUNITED KINGDOMUNITED STATES OF AMERICAURUGUAYUZBEKISTANYEMENYUGOSLAVIA",,,,YESNO,,,Accessions,1,https://www.vivc.de/index.php?PassportSearch%5Babstg_marker%5D=&PassportSearch%5Bchlorotyps%5D=&PassportSearch%5Bcolor%5D=&PassportSearch%5Bcountry%5D=&PassportSearch%5Bgattung_id2%5D=&PassportSearch%5Bgenotypedssr%5D=&PassportSearch%5Bgeschlechts%5D=&PassportSearch%5Bholdings%5D=&PassportSearch%5Bkenn_nr%5D=&PassportSearch%5Bkreuzungsjahrs%5D=&PassportSearch%5Bleitname%5D=&PassportSearch%5Bmutant%5D=&PassportSearch%5Btext%5D=&PassportSearch%5Butilization2%5D=&PassportSearch%5Bzuechternames%5D=&page=1&r=passport%2Fresult&sort=kenn_nr
A LA REINE,BLANC,1,TABLE GRAPE,,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,,,,,,,1,https://www.vivc.de/index.php?PassportSearch%5Babstg_marker%5D=&PassportSearch%5Bchlorotyps%5D=&PassportSearch%5Bcolor%5D=&PassportSearch%5Bcountry%5D=&PassportSearch%5Bgattung_id2%5D=&PassportSearch%5Bgenotypedssr%5D=&PassportSearch%5Bgeschlechts%5D=&PassportSearch%5Bholdings%5D=&PassportSearch%5Bkenn_nr%5D=&PassportSearch%5Bkreuzungsjahrs%5D=&PassportSearch%5Bleitname%5D=&PassportSearch%5Bmutant%5D=&PassportSearch%5Btext%5D=&PassportSearch%5Butilization2%5D=&PassportSearch%5Bzuechternames%5D=&page=1&r=passport%2Fresult&sort=kenn_nr
ABALI KOCA,BLANC,2,TABLE GRAPE,TURKEY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,,,,,,,1,https://www.vivc.de/index.php?PassportSearch%5Babstg_marker%5D=&PassportSearch%5Bchlorotyps%5D=&PassportSearch%5Bcolor%5D=&PassportSearch%5Bcountry%5D=&PassportSearch%5Bgattung_id2%5D=&PassportSearch%5Bgenotypedssr%5D=&PassportSearch%5Bgeschlechts%5D=&PassportSearch%5Bholdings%5D=&PassportSearch%5Bkenn_nr%5D=&PassportSearch%5Bkreuzungsjahrs%5D=&PassportSearch%5Bleitname%5D=&PassportSearch%5Bmutant%5D=&PassportSearch%5Btext%5D=&PassportSearch%5Butilization2%5D=&PassportSearch%5Bzuechternames%5D=&page=1&r=passport%2Fresult&sort=kenn_nr
ABBADIA BIANCA,BLANC,3,,ITALY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,,,,,,,1,https://www.vivc.de/index.php?PassportSearch%5Babstg_marker%5D=&PassportSearch%5Bchlorotyps%5D=&PassportSearch%5Bcolor%5D=&PassportSearch%5Bcountry%5D=&PassportSearch%5Bgattung_id2%5D=&PassportSearch%5Bgenotypedssr%5D=&PassportSearch%5Bgeschlechts%5D=&PassportSearch%5Bholdings%5D=&PassportSearch%5Bkenn_nr%5D=&PassportSearch%5Bkreuzungsjahrs%5D=&PassportSearch%5Bleitname%5D=&PassportSearch%5Bmutant%5D=&PassportSearch%5Btext%5D=&PassportSearch%5Butilization2%5D=&PassportSearch%5Bzuechternames%5D=&page=1&r=passport%2Fresult&sort=kenn_nr
ABBOTTABOTTI,BLANC,4,WINE GRAPE,,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BEBA,MARUGA,view,,,,1,https://www.vivc.de/index.php?PassportSearch%5Babstg_marker%5D=&PassportSearch%5Bchlorotyps%5D=&PassportSearch%5Bcolor%5D=&PassportSearch%5Bcountry%5D=&PassportSearch%5Bgattung_id2%5D=&PassportSearch%5Bgenotypedssr%5D=&PassportSearch%5Bgeschlechts%5D=&PassportSearch%5Bholdings%5D=&PassportSearch%5Bkenn_nr%5D=&PassportSearch%5Bkreuzungsjahrs%5D=&PassportSearch%5Bleitname%5D=&PassportSearch%5Bmutant%5D=&PassportSearch%5Btext%5D=&PassportSearch%5Butilization2%5D=&PassportSearch%5Bzuechternames%5D=&page=1&r=passport%2Fresult&sort=kenn_nr
ABBRUZZESE BIANCA,BLANC,5,WINE GRAPE,ITALY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,,,,,,,1,https://www.vivc.de/index.php?PassportSearch%5Babstg_marker%5D=&PassportSearch%5Bchlorotyps%5D=&PassportSearch%5Bcolor%5D=&PassportSearch%5Bcountry%5D=&PassportSearch%5Bgattung_id2%5D=&PassportSearch%5Bgenotypedssr%5D=&PassportSearch%5Bgeschlechts%5D=&PassportSearch%5Bholdings%5D=&PassportSearch%5Bkenn_nr%5D=&PassportSearch%5Bkreuzungsjahrs%5D=&PassportSearch%5Bleitname%5D=&PassportSearch%5Bmutant%5D=&PassportSearch%5Btext%5D=&PassportSearch%5Butilization2%5D=&PassportSearch%5Bzuechternames%5D=&page=1&r=passport%2Fresult&sort=kenn_nr
ABBRUZZESE CAMPOMAGGIORE,BLANC,6,WINE GRAPE,ITALY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,,,,,,,1,https://www.vivc.de/index.php?PassportSearch%5Babstg_marker%5D=&PassportSearch%5Bchlorotyps%5D=&PassportSearch%5Bcolor%5D=&PassportSearch%5Bcountry%5D=&PassportSearch%5Bgattung_id2%5D=&PassportSearch%5Bgenotypedssr%5D=&PassportSearch%5Bgeschlechts%5D=&PassportSearch%5Bholdings%5D=&PassportSearch%5Bkenn_nr%5D=&PassportSearch%5Bkreuzungsjahrs%5D=&PassportSearch%5Bleitname%5D=&PassportSearch%5Bmutant%5D=&PassportSearch%5Btext%5D=&PassportSearch%5Butilization2%5D=&PassportSearch%5Bzuechternames%5D=&page=1&r=passport%2Fresult&sort=kenn_nr
ABBUOTO,NOIR,7,WINE GRAPETABLE GRAPE,ITALY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,PIEDIROSSO,CASAVECCHIA,,,,,1,https://www.vivc.de/index.php?PassportSearch%5Babstg_marker%5D=&PassportSearch%5Bchlorotyps%5D=&PassportSearch%5Bcolor%5D=&PassportSearch%5Bcountry%5D=&PassportSearch%5Bgattung_id2%5D=&PassportSearch%5Bgenotypedssr%5D=&PassportSearch%5Bgeschlechts%5D=&PassportSearch%5Bholdings%5D=&PassportSearch%5Bkenn_nr%5D=&PassportSearch%5Bkreuzungsjahrs%5D=&PassportSearch%5Bleitname%5D=&PassportSearch%5Bmutant%5D=&PassportSearch%5Btext%5D=&PassportSearch%5Butilization2%5D=&PassportSearch%5Bzuechternames%5D=&page=1&r=passport%2Fresult&sort=kenn_nr
ABBY CLINGOTTEN,NOIR,8,,UNITED STATES OF AMERICA,VITIS LABRUSCA LINNÉ,,,,"Prince, W.R.",1863,,1,https://www.vivc.de/index.php?PassportSearch%5Babstg_marker%5D=&PassportSearch%5Bchlorotyps%5D=&PassportSearch%5Bcolor%5D=&PassportSearch%5Bcountry%5D=&PassportSearch%5Bgattung_id2%5D=&PassportSearch%5Bgenotypedssr%5D=&PassportSearch%5Bgeschlechts%5D=&PassportSearch%5Bholdings%5D=&PassportSearch%5Bkenn_nr%5D=&PassportSearch%5Bkreuzungsjahrs%5D=&PassportSearch%5Bleitname%5D=&PassportSearch%5Bmutant%5D=&PassportSearch%5Btext%5D=&PassportSearch%5Butilization2%5D=&PassportSearch%5Bzuechternames%5D=&page=1&r=passport%2Fresult&sort=kenn_nr
